group,label,step,mean_activation,mean_energy,hard_active_ratio,strong_output_ratio,activation_entropy,weight_mean,weight_std,weight_abs_mean,turnover_fraction,mean_abs_weight_change
A_L,L then R,30000,0.3176210199511032,0.35375314600706464,0.45666666666666667,0.48,2.3102166748120556,0.0008251826529303005,0.34611807839308945,0.3000000000000001,1.0,0.19509792932815714
A_L,L then R,60000,0.30801896494683423,0.3587737286990647,0.44333333333333336,0.45666666666666667,2.3126461176158877,0.0009952057085796696,0.34597679171846946,0.300000000000001,0.9988851727982163,0.0007120929220476875
A_L,L then R,90000,0.3166665596052077,0.381402735584009,0.44333333333333336,0.49,2.320930007686036,0.0011671193466131476,0.34583669706484366,0.2999999999999997,0.9993311036789297,0.000723420026031677
A_L,L then R,120000,0.3154654646023086,0.380651145650424,0.44666666666666666,0.4666666666666667,2.258041329121862,0.0013388047607233839,0.3456997686457635,0.2999999999999993,0.9984392419175028,0.0007296324276054253
A_R,R then L,30000,0.308464634465111,0.3594405606479026,0.47,0.49,2.264843741820929,0.0008275598624213576,0.34611583476914526,0.3,1.0,0.1950979763478506
A_R,R then L,60000,0.3112733938617353,0.3517981903121888,0.46,0.48333333333333334,2.2956630197079,0.0009981972166040408,0.34597449753148357,0.29999999999999954,0.9995540691192865,0.0007125157614709391
A_R,R then L,90000,0.31508139088067205,0.3782270495051371,0.4533333333333333,0.4766666666666667,2.322219894867676,0.0011700856235569602,0.3458345295712727,0.3000000000000002,0.9995540691192865,0.0007221606042696753
A_R,R then L,120000,0.3129727130546787,0.3784426553040908,0.46,0.47,2.2680919563785555,0.0013415272224660839,0.3456981064239668,0.29999999999999993,0.999108138238573,0.0007246450930654232
C,repeat A_L,30000,0.3176210199511032,0.35375314600706464,0.45666666666666667,0.48,2.3102166748120556,0.0008251826529303005,0.34611807839308945,0.3000000000000001,1.0,0.19509792932815714
C,repeat A_L,60000,0.30801896494683423,0.3587737286990647,0.44333333333333336,0.45666666666666667,2.3126461176158877,0.0009952057085796696,0.34597679171846946,0.300000000000001,0.9988851727982163,0.0007120929220476875
C,repeat A_L,90000,0.3166665596052077,0.381402735584009,0.44333333333333336,0.49,2.320930007686036,0.0011671193466131476,0.34583669706484366,0.2999999999999997,0.9993311036789297,0.000723420026031677
C,repeat A_L,120000,0.3154654646023086,0.380651145650424,0.44666666666666666,0.4666666666666667,2.258041329121862,0.0013388047607233839,0.3456997686457635,0.2999999999999993,0.9984392419175028,0.0007296324276054253
D_L,plasticity off (L then R),30000,0.39469167584567666,0.36214036525742493,0.5366666666666666,0.55,2.3116162545506924,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
D_L,plasticity off (L then R),60000,0.3819940437010337,0.38618481577273855,0.5133333333333333,0.5166666666666667,2.1820776288812067,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
D_L,plasticity off (L then R),90000,0.3913106180908857,0.37122556037257953,0.52,0.5366666666666666,2.1816795888929996,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
D_L,plasticity off (L then R),120000,0.3788553224021666,0.4004280169198929,0.49666666666666665,0.5133333333333333,2.1774759063036573,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
D_R,plasticity off (R then L),30000,0.3822094988578453,0.36528295937237415,0.5033333333333333,0.53,2.247883488186003,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
D_R,plasticity off (R then L),60000,0.37368929896117614,0.39032722798162023,0.5033333333333333,0.5133333333333333,2.2158171632766894,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
D_R,plasticity off (R then L),90000,0.3875494955530057,0.40705116764586263,0.5166666666666667,0.5333333333333333,2.1190367925251756,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
D_R,plasticity off (R then L),120000,0.372364644686264,0.383333458609552,0.47333333333333333,0.5,2.1259487277982934,0.0010841217503497812,0.571448818933048,0.4950954547379169,0.0,0.0
