run_id,arm,seed_env,seed_sched,code_sha,config_sha,t_decision,activity_L,activity_R,obs_hash,obs_schema_version,logit_none,logit_L,logit_R,logit_sim,prob_none,prob_L,prob_R,prob_sim,u_draw,chosen_event,payload_hash,applied_ok
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,2000,0.37714372,0.35263283,0bf10ac8f32ad7a5,1.0,1.0,0.26316414,0.38571858,-3.0,0.49068409,0.23485414,0.26547458,0.00898719,0.35740848,none,,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,2250,0.37292846,0.33745658,fde720aef58f82d1,1.0,1.0,0.1872829,0.36464228,-3.0,0.50208048,0.2227485,0.2659751,0.00919592,0.37220866,none,,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,2500,0.38241228,0.35349793,8d31e1e3580fed96,1.0,1.0,0.26748963,0.41206139,-3.0,0.48673939,0.23397598,0.27036969,0.00891494,0.57600366,L,9e4cd09fdf3acfe2,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,2750,0.38270447,0.34335291,fd4269bac6bd776e,1.0,1.0,0.21676453,0.41352234,-3.0,0.49224126,0.22491746,0.27382557,0.00901571,0.74709189,R,5cc514601d9dbfcd,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,3000,0.38751629,0.36031099,846ae81439a9062c,1.0,1.0,0.30155495,0.43758146,-3.0,0.47950064,0.23848351,0.27323349,0.00878236,0.18460735,none,,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,3250,0.39318572,0.34575372,7977c5f82f58d88a,1.0,1.0,0.22876859,0.4659286,-3.0,0.48379942,0.22372978,0.2836097,0.0088611,0.58460565,L,9e4cd09fdf3acfe2,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,3500,0.37791463,0.34227261,2ee887cf65b67dbe,1.0,1.0,0.21136304,0.38957316,-3.0,0.49605673,0.22543984,0.26941783,0.0090856,0.53477234,L,9e4cd09fdf3acfe2,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,3750,0.39004393,0.33733759,14b61e8b97851368,1.0,1.0,0.18668796,0.45021964,-3.0,0.49048958,0.21747676,0.28305003,0.00898363,0.60249217,L,9e4cd09fdf3acfe2,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,4000,0.37261024,0.33896543,8e1a9f2b33821d80,1.0,1.0,0.19482714,0.3630512,-3.0,0.50144666,0.224152,0.26521702,0.00918432,0.26416366,none,,True
phase10A1_seed42,closed_loop,42,1042,a18f59c,90a91b4e66c2fb96,4250,0.38175869,0.34583091,5555e8ef7fddf50e,1.0,1.0,0.22915456,0.40879347,-3.0,0.49149799,0.22737768,0.27212223,0.0090021,0.01466478,none,,True
