arm,seed_env,epsilon,fast_weight_l1,slow_weight_l1,slow_weight_max_abs,capture_count,tag_mass_final,n_tagged_connections,saturation_frac,max_abs_weight,nan_hit,event_count,L_count,R_count,simultaneous_count,trace_hash,wall_time_s,n_expected,n_replayed,hash_mismatches,replay_exact,perturb_l1,perturb_l2,perturb_max_abs
closed_loop,77,0.005,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,12,7,5,0,38efd91fb1912b1c,51.9,,,,,,,
exact_replay,77,0.005,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,,,,,38efd91fb1912b1c,51.6,12,12,0,True,,,
perturbed_replay,77,0.005,1870.29863138,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927639,False,,,,,38efd91fb1912b1c,51.6,12,12,0,True,0.3231007569,0.0325304456,0.0049699878
closed_loop,77,0.01,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,12,7,5,0,38efd91fb1912b1c,51.5,,,,,,,
exact_replay,77,0.01,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,,,,,38efd91fb1912b1c,51.4,12,12,0,True,,,
perturbed_replay,77,0.01,1870.29940419,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82928238,False,,,,,38efd91fb1912b1c,51.5,12,12,0,True,0.6462015138,0.0650608912,0.0099399757
closed_loop,77,0.02,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,12,7,5,0,38efd91fb1912b1c,51.5,,,,,,,
exact_replay,77,0.02,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,,,,,38efd91fb1912b1c,51.5,12,12,0,True,,,
perturbed_replay,77,0.02,1870.2989349,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82930619,False,,,,,38efd91fb1912b1c,51.5,12,12,0,True,1.2924030276,0.1301217824,0.0198799513
closed_loop,77,0.05,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,12,7,5,0,38efd91fb1912b1c,51.6,,,,,,,
exact_replay,77,0.05,1870.30874375,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82927042,False,,,,,38efd91fb1912b1c,51.4,12,12,0,True,,,
perturbed_replay,77,0.05,1870.30661477,0.00044013,2.433e-05,11,0.00065626,79,0.0,0.82925488,False,,,,,38efd91fb1912b1c,51.5,12,12,0,True,3.2310075691,0.325304456,0.0496998783
