run_id,arm,seed_env,code_sha,config_sha,t_decision,chosen_event,payload_hash,expected_payload_hash,hash_match
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,2000,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,2250,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,2500,L,9e4cd09fdf3acfe2,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,2750,R,5cc514601d9dbfcd,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,3000,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,3250,L,9e4cd09fdf3acfe2,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,3500,L,9e4cd09fdf3acfe2,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,3750,L,9e4cd09fdf3acfe2,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,4000,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,4250,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,4500,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,4750,R,5cc514601d9dbfcd,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,5000,R,5cc514601d9dbfcd,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,5250,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,5500,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,5750,R,5cc514601d9dbfcd,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,6000,R,5cc514601d9dbfcd,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,6250,L,9e4cd09fdf3acfe2,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,6500,none,,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,6750,L,9e4cd09fdf3acfe2,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,7000,R,5cc514601d9dbfcd,,
phase10A2C_closed_seed42,closed_loop,42,25186c6,7bb4d76456c48b56,7250,none,,,
phase10A2C_exact_seed42,exact_replay,42,25186c6,7bb4d76456c48b56,2500,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
phase10A2C_exact_seed42,exact_replay,42,25186c6,7bb4d76456c48b56,2750,R,5cc514601d9dbfcd,5cc514601d9dbfcd,True
phase10A2C_exact_seed42,exact_replay,42,25186c6,7bb4d76456c48b56,3250,L,9e4cd09fdf3acfe2,9e4cd09fdf3acfe2,True
