seed,arm,capture_index,capture_step,capture_signal,slow_weight_delta_l1,capture_count_so_far,historical_context_l1,historical_context_mean,historical_context_max,historical_context_concentration,historical_context_effective_support
77,closed_loop,0,2001,1.0,0.0,1,11.376009710796005,0.03792003236932002,0.08670816941037053,0.005084250846621443,196.6858107845946
77,closed_loop,1,2502,1.0,0.0,2,16.208034600494166,0.05402678200164722,0.12756773491372822,0.005326911774718358,187.72603006980935
77,closed_loop,2,3003,1.0,1.950059037995018e-05,3,20.669341328704746,0.06889780442901582,0.16659162739800218,0.0054952899824552166,181.97401833073317
77,closed_loop,3,3504,1.0,3.713802588153828e-05,4,24.9367259961747,0.08312241998724901,0.20371930350526576,0.005596542075887021,178.681762138187
77,closed_loop,4,4005,1.0,4.358716034486226e-05,5,28.942862600524393,0.09647620866841464,0.23921429059099905,0.005674015650121423,176.24202357964947
77,closed_loop,5,4506,1.0,4.9419413753075674e-05,6,32.57096614373303,0.10856988714577677,0.2722604603865018,0.005749106462873034,173.9400733762485
77,closed_loop,6,5007,1.0,4.4707592328506885e-05,7,36.096609532799064,0.12032203177599689,0.3035103728439194,0.005779994981143241,173.0105308503585
77,closed_loop,7,5508,1.0,5.0429025390809234e-05,8,39.37370632212703,0.13124568774042342,0.33353523419664616,0.005810134984497001,172.11304086191944
77,closed_loop,8,6009,1.0,6.509814773368808e-05,9,42.404513755978556,0.14134837918659518,0.3613367343074861,0.005828531438152417,171.56980460879
77,closed_loop,9,6510,1.0,6.838474911270953e-05,10,45.70831116517126,0.15236103721723754,0.38861867181027976,0.005800252346478952,172.40629204814698
77,closed_loop,10,7011,1.0,6.186470564167639e-05,11,48.557584684685075,0.16185861561561693,0.4145121953455908,0.005845747557616628,171.06452000258977
77,exact_replay,0,2001,1.0,0.0,1,11.376013702790324,0.037920045675967747,0.08670821281807659,0.0050842517524269755,196.68577574323467
77,exact_replay,1,2502,1.0,0.0,2,16.27758042621561,0.0542586014207187,0.12780064990072568,0.005328921255773524,187.65524052669534
77,exact_replay,2,3003,1.0,1.9500590379948792e-05,3,20.84623347530318,0.06948744491767726,0.16695362433113792,0.005482244121802713,182.4070540790096
77,exact_replay,3,3504,1.0,3.713802588153564e-05,4,25.18912720024567,0.08396375733415223,0.2040319010511766,0.005592564978420535,178.8088299123209
77,exact_replay,4,4005,1.0,4.358716034485987e-05,5,29.262459565123443,0.09754153188374481,0.239598677653659,0.005647945396169656,177.05553610312586
77,exact_replay,5,4506,1.0,4.941941375308044e-05,6,33.30930363760102,0.11103101212533673,0.27311462601386166,0.0056597027540757515,176.68772432966816
77,exact_replay,6,5007,1.0,4.4707592328511195e-05,7,36.807012471503775,0.12269004157167925,0.3049892155497528,0.005719561717872234,174.83857143725615
77,exact_replay,7,5508,1.0,5.042902539081314e-05,8,40.134224296999236,0.13378074765666412,0.33532626797146725,0.005746899067495686,174.00688410485134
77,exact_replay,8,6009,1.0,6.509814773368899e-05,9,43.39395054744913,0.14464650182483044,0.36390459161083666,0.005762549288543865,173.534307461462
77,exact_replay,9,6510,1.0,6.838474911271034e-05,10,46.39779528462429,0.1546593176154143,0.3906476071947525,0.005779187831108808,173.0346943591445
77,exact_replay,10,7011,1.0,6.186470564167713e-05,11,49.276877602523655,0.16425625867507884,0.41531821097526955,0.005796510354861001,172.5175905467661
77,divergent_warmup_replay,0,1,1.0,0.0,1,15.838097656435323,0.05279365885478441,0.12959625410378653,0.005604596200460084,178.42498624930545
77,divergent_warmup_replay,1,502,1.0,0.0,2,20.431256844640572,0.06810418948213524,0.16811163626276687,0.0056907062236308545,175.72511401967392
77,divergent_warmup_replay,2,1003,1.0,1.9500590379948792e-05,3,24.706699231981958,0.08235566410660652,0.20493656956528497,0.0057446435610533746,174.07520403522366
77,divergent_warmup_replay,3,1504,1.0,3.713802588153564e-05,4,28.746664540864437,0.09582221513621479,0.24008972975496926,0.005801548778626274,172.3677656015134
77,divergent_warmup_replay,4,2005,1.0,4.358716034485987e-05,5,32.821853677289695,0.10940617892429899,0.27429655255915064,0.0057784706109424416,173.05617131743182
77,divergent_warmup_replay,5,2506,1.0,4.941941375308044e-05,6,36.47070114670524,0.1215690038223508,0.30588396295798304,0.005804198907253977,172.289064516762
77,divergent_warmup_replay,6,3007,1.0,4.4707592328511195e-05,7,39.79344878119288,0.13264482927064292,0.3358630364773658,0.005846621969738151,171.03893584636643
77,divergent_warmup_replay,7,3508,1.0,5.042902539081314e-05,8,42.8570149201211,0.14285671640040368,0.36448607621457135,0.005886301855646125,169.88595293338594
77,divergent_warmup_replay,8,4009,1.0,6.509814773368899e-05,9,45.8396874680786,0.15279895822692868,0.39149536189553574,0.005921120063866181,168.88696550886226
77,divergent_warmup_replay,9,4510,1.0,6.838474911271034e-05,10,48.82748812986095,0.16275829376620318,0.4167280411788645,0.0058886255792952365,169.8189138592986
77,divergent_warmup_replay,10,5011,1.0,6.186470564167713e-05,11,51.84249876803442,0.17280832922678138,0.4417868764548471,0.005860275269969947,170.64044843155094
