seed,arm,capture_index,capture_step,capture_signal,tag_mass,slow_delta_l1,h_l1,h_mean,h_max,h_concentration,h_effective_support,h_gini,h_tag_cosine,tag_weighted_h,h_tagged_mean,h_untagged_mean,h_tag_ratio,h_capture_corr,h_weighted_slow_delta
42,closed_loop,0,2501,1.0,0.0,0.0,21.63413779,0.07211379,0.18047017,0.00601405,166.2773,0.49974407,0.0,0.0,0.0,0.07175924,0.0,0.0,0.0
42,closed_loop,1,3002,1.0,9.51e-05,9.51e-06,26.01350029,0.08671167,0.21697247,0.00599653,166.763,0.49930539,0.027198,0.08439991,0.09257835,0.08632211,1.072476,-0.00116518,0.0
42,closed_loop,2,3503,1.0,0.00028108,2.81e-05,30.20575126,0.10068584,0.25224179,0.00603052,165.8233,0.50183762,0.03988596,0.0858388,0.09779798,0.10026908,0.975355,-0.01244021,1e-08
42,closed_loop,3,4004,1.0,0.00034935,3.493e-05,34.06107563,0.11353692,0.28595905,0.00606871,164.7796,0.50496848,0.0410248,0.10329645,0.1108216,0.11306138,0.98019,-0.00715814,1e-08
42,closed_loop,4,4505,1.0,0.00031604,3.16e-05,37.78046663,0.12593489,0.31766068,0.00607855,164.513,0.50587613,0.04086356,0.11422871,0.12287004,0.12544848,0.979446,-0.00739794,1e-08
42,closed_loop,5,5006,1.0,0.00048084,4.807e-05,41.16667129,0.13722224,0.34791561,0.00610672,163.7541,0.50811905,0.04439862,0.11462981,0.11848052,0.13684,0.865832,-0.01570987,1e-08
42,closed_loop,6,5507,1.0,0.00043499,4.349e-05,44.40897788,0.14802993,0.37668966,0.00612873,163.166,0.50985691,0.04420885,0.12328109,0.12768246,0.14762924,0.864886,-0.01590253,1e-08
42,closed_loop,7,6008,1.0,0.00058837,5.882e-05,47.39322972,0.15797743,0.40405281,0.00616309,162.2564,0.5124757,0.03766249,0.11378695,0.13619574,0.15756207,0.864394,-0.02636441,1e-08
42,closed_loop,8,6509,1.0,0.00062724,6.271e-05,50.27266083,0.16757554,0.42981479,0.0061911,161.5222,0.51451342,0.0373039,0.11530028,0.14484254,0.1671199,0.866698,-0.03042177,1e-08
42,closed_loop,9,7010,1.0,0.00076221,7.621e-05,53.01720172,0.17672401,0.45419049,0.00620654,161.1203,0.51570587,0.03667276,0.11983757,0.15265542,0.17625102,0.866125,-0.03127086,1e-08
42,exact_replay,0,2501,1.0,0.0,0.0,21.63413779,0.07211379,0.18047017,0.00601405,166.2773,0.49974407,0.0,0.0,0.0,0.07175924,0.0,0.0,0.0
42,exact_replay,1,3002,1.0,9.51e-05,9.51e-06,26.01350029,0.08671167,0.21697247,0.00599653,166.763,0.49930539,0.027198,0.08439991,0.09257835,0.08632211,1.072476,-0.00116518,0.0
42,exact_replay,2,3503,1.0,0.00028108,2.81e-05,30.20575126,0.10068584,0.25224179,0.00603052,165.8233,0.50183762,0.03988596,0.0858388,0.09779798,0.10026908,0.975355,-0.01244021,1e-08
42,exact_replay,3,4004,1.0,0.00034935,3.493e-05,34.06107563,0.11353692,0.28595905,0.00606871,164.7796,0.50496848,0.0410248,0.10329645,0.1108216,0.11306138,0.98019,-0.00715814,1e-08
42,exact_replay,4,4505,1.0,0.00031604,3.16e-05,37.78046663,0.12593489,0.31766068,0.00607855,164.513,0.50587613,0.04086356,0.11422871,0.12287004,0.12544848,0.979446,-0.00739794,1e-08
42,exact_replay,5,5006,1.0,0.00048084,4.807e-05,41.16667129,0.13722224,0.34791561,0.00610672,163.7541,0.50811905,0.04439862,0.11462981,0.11848052,0.13684,0.865832,-0.01570987,1e-08
42,exact_replay,6,5507,1.0,0.00043499,4.349e-05,44.40897788,0.14802993,0.37668966,0.00612873,163.166,0.50985691,0.04420885,0.12328109,0.12768246,0.14762924,0.864886,-0.01590253,1e-08
42,exact_replay,7,6008,1.0,0.00058837,5.882e-05,47.39322972,0.15797743,0.40405281,0.00616309,162.2564,0.5124757,0.03766249,0.11378695,0.13619574,0.15756207,0.864394,-0.02636441,1e-08
42,exact_replay,8,6509,1.0,0.00062724,6.271e-05,50.27266083,0.16757554,0.42981479,0.0061911,161.5222,0.51451342,0.0373039,0.11530028,0.14484254,0.1671199,0.866698,-0.03042177,1e-08
42,exact_replay,9,7010,1.0,0.00076221,7.621e-05,53.01720172,0.17672401,0.45419049,0.00620654,161.1203,0.51570587,0.03667276,0.11983757,0.15265542,0.17625102,0.866125,-0.03127086,1e-08
42,divergent_warmup_replay,0,501,1.0,0.0,0.0,14.44511194,0.04815037,0.10981663,0.00520691,192.0523,0.42176397,0.0,0.0,0.0,0.04796887,0.0,0.0,0.0
