seed,arm,capture_index,capture_step,capture_signal,tag_mass,slow_delta_l1,h_tag_cosine,tag_weighted_h,h_tag_ratio,novelty_mass,novelty_alignment,novelty_slow_corr,novelty_ratio,surprise_mag_mass,surprise_mag_alignment,surprise_mag_slow_corr,surprise_mag_ratio,phi_proxy,pos_surprise_mass,pos_surprise_alignment,neg_surprise_mass,neg_surprise_alignment,signed_surprise_slow_corr,background_vs_novelty_delta,background_vs_surprise_mag_delta,background_vs_pos_surprise_delta
42,closed_loop,0,2501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,closed_loop,1,3002,1.0,9.51e-05,9.51e-06,0.027198,0.08439991,1.072476,5.807e-05,0.98659632,0.98658637,0.6106,2.63e-06,0.79540844,0.79517299,0.027656,True,1.37e-06,0.81884033,1.26e-06,0.30250538,0.37071321,0.95939832,0.76821044,0.79164233
42,closed_loop,2,3503,1.0,0.00028108,2.81e-05,0.03988596,0.0858388,0.975355,0.00018537,0.94745465,0.9473299,0.659494,5.99e-06,0.87293071,0.87259684,0.021301,True,3.09e-06,0.79271852,2.9e-06,0.45617446,0.20286342,0.9075687,0.83304476,0.75283256
42,closed_loop,3,4004,1.0,0.00034935,3.493e-05,0.0410248,0.10329645,0.98019,0.00022297,0.91920838,0.91901423,0.638234,1.177e-05,0.82855739,0.82821409,0.033704,True,8e-08,0.01136437,1.17e-05,0.82848093,-0.82795504,0.87818357,0.78753258,-0.02966043
42,closed_loop,4,4505,1.0,0.00031604,3.16e-05,0.04086356,0.11422871,0.979446,0.00020221,0.91953782,0.91934472,0.639829,9.58e-06,0.85025289,0.84989476,0.030301,True,5.1e-07,0.16735771,9.07e-06,0.83634294,-0.81036168,0.87867426,0.80938933,0.12649415
42,closed_loop,5,5006,1.0,0.00048084,4.807e-05,0.04439862,0.11462981,0.865832,0.00032203,0.94797795,0.94779207,0.669725,1.591e-05,0.69253914,0.69150746,0.033081,True,9.4e-07,0.27353798,1.496e-05,0.66660377,-0.63161762,0.90357933,0.64814052,0.22913936
42,closed_loop,6,5507,1.0,0.00043499,4.349e-05,0.04420885,0.12328109,0.864886,0.00029221,0.94852117,0.94833791,0.671763,2.359e-05,0.86459369,0.86441437,0.054231,True,1e-08,0.01657329,2.358e-05,0.86457719,-0.86438149,0.90431232,0.82038484,-0.02763556
42,closed_loop,7,6008,1.0,0.00058837,5.882e-05,0.03766249,0.11378695,0.864394,0.00042203,0.96141968,0.96131099,0.717286,1.774e-05,0.82945767,0.82900385,0.030145,True,2.52e-06,0.61656033,1.522e-05,0.65494714,-0.39621971,0.92375719,0.79179518,0.57889784
42,closed_loop,8,6509,1.0,0.00062724,6.271e-05,0.0373039,0.11530028,0.866698,0.00045835,0.96606299,0.9659598,0.730743,1.872e-05,0.81548513,0.81474387,0.029841,True,3.4e-07,0.16412241,1.838e-05,0.80842881,-0.7986694,0.92875909,0.77818124,0.12681851
42,closed_loop,9,7010,1.0,0.00076221,7.621e-05,0.03667276,0.11983757,0.866125,0.00056046,0.96834076,0.96824538,0.735307,3.385e-05,0.79485366,0.7941087,0.044415,True,5.96e-06,0.58401522,2.789e-05,0.62831947,-0.37839722,0.931668,0.7581809,0.54734246
42,exact_replay,0,2501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,exact_replay,1,3002,1.0,9.51e-05,9.51e-06,0.027198,0.08439991,1.072476,5.807e-05,0.98659632,0.98658637,0.6106,2.63e-06,0.79540844,0.79517299,0.027656,True,1.37e-06,0.81884033,1.26e-06,0.30250538,0.37071321,0.95939832,0.76821044,0.79164233
42,exact_replay,2,3503,1.0,0.00028108,2.81e-05,0.03988596,0.0858388,0.975355,0.00018537,0.94745465,0.9473299,0.659494,5.99e-06,0.87293071,0.87259684,0.021301,True,3.09e-06,0.79271852,2.9e-06,0.45617446,0.20286342,0.9075687,0.83304476,0.75283256
42,exact_replay,3,4004,1.0,0.00034935,3.493e-05,0.0410248,0.10329645,0.98019,0.00022297,0.91920838,0.91901423,0.638234,1.177e-05,0.82855739,0.82821409,0.033704,True,8e-08,0.01136437,1.17e-05,0.82848093,-0.82795504,0.87818357,0.78753258,-0.02966043
42,exact_replay,4,4505,1.0,0.00031604,3.16e-05,0.04086356,0.11422871,0.979446,0.00020221,0.91953782,0.91934472,0.639829,9.58e-06,0.85025289,0.84989476,0.030301,True,5.1e-07,0.16735771,9.07e-06,0.83634294,-0.81036168,0.87867426,0.80938933,0.12649415
42,exact_replay,5,5006,1.0,0.00048084,4.807e-05,0.04439862,0.11462981,0.865832,0.00032203,0.94797795,0.94779207,0.669725,1.591e-05,0.69253914,0.69150746,0.033081,True,9.4e-07,0.27353798,1.496e-05,0.66660377,-0.63161762,0.90357933,0.64814052,0.22913936
42,exact_replay,6,5507,1.0,0.00043499,4.349e-05,0.04420885,0.12328109,0.864886,0.00029221,0.94852117,0.94833791,0.671763,2.359e-05,0.86459369,0.86441437,0.054231,True,1e-08,0.01657329,2.358e-05,0.86457719,-0.86438149,0.90431232,0.82038484,-0.02763556
42,exact_replay,7,6008,1.0,0.00058837,5.882e-05,0.03766249,0.11378695,0.864394,0.00042203,0.96141968,0.96131099,0.717286,1.774e-05,0.82945767,0.82900385,0.030145,True,2.52e-06,0.61656033,1.522e-05,0.65494714,-0.39621971,0.92375719,0.79179518,0.57889784
42,exact_replay,8,6509,1.0,0.00062724,6.271e-05,0.0373039,0.11530028,0.866698,0.00045835,0.96606299,0.9659598,0.730743,1.872e-05,0.81548513,0.81474387,0.029841,True,3.4e-07,0.16412241,1.838e-05,0.80842881,-0.7986694,0.92875909,0.77818124,0.12681851
42,exact_replay,9,7010,1.0,0.00076221,7.621e-05,0.03667276,0.11983757,0.866125,0.00056046,0.96834076,0.96824538,0.735307,3.385e-05,0.79485366,0.7941087,0.044415,True,5.96e-06,0.58401522,2.789e-05,0.62831947,-0.37839722,0.931668,0.7581809,0.54734246
42,divergent_warmup_replay,0,501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,divergent_warmup_replay,1,1002,1.0,9.51e-05,9.51e-06,0.02942438,0.06517556,1.086134,5.377e-05,0.98526524,0.98525359,0.565421,9.28e-06,0.9697108,0.9697008,0.097562,True,0.0,0.0,9.28e-06,0.9697108,-0.9697008,0.95584087,0.94028642,-0.02942438
42,divergent_warmup_replay,2,1503,1.0,0.00028108,2.81e-05,0.04245528,0.06965159,0.995148,0.00017714,0.9439827,0.94385096,0.630215,1.317e-05,0.88238661,0.8820378,0.046861,True,2.2e-07,0.02099848,1.295e-05,0.88269891,-0.87955067,0.90152742,0.83993133,-0.0214568
42,divergent_warmup_replay,3,2004,1.0,0.00034935,3.493e-05,0.0433331,0.08715753,0.999661,0.00021367,0.91459847,0.91439416,0.611619,2.497e-05,0.84561698,0.84537262,0.071464,True,4e-08,0.03849264,2.493e-05,0.84547467,-0.84507705,0.87126538,0.80228389,-0.00484045
42,divergent_warmup_replay,4,2505,1.0,0.00031604,3.16e-05,0.04268822,0.09886987,0.992899,0.00019548,0.91606974,0.91586881,0.618539,1.479e-05,0.85802784,0.85771943,0.046811,True,2e-08,0.01115035,1.478e-05,0.85799168,-0.85763626,0.87338152,0.81533961,-0.03153787
42,divergent_warmup_replay,5,3006,1.0,0.00048084,4.807e-05,0.04589235,0.10085864,0.874461,0.00031484,0.94614229,0.9459496,0.654773,2.652e-05,0.85108477,0.85058549,0.055147,True,1.61e-06,0.30625784,2.49e-05,0.81762005,-0.76900011,0.90024995,0.80519242,0.2603655
42,divergent_warmup_replay,6,3507,1.0,0.00043499,4.349e-05,0.04578594,0.11108578,0.871463,0.00028533,0.94639815,0.94620504,0.655947,2.173e-05,0.49229054,0.49074537,0.049965,True,6.6e-07,0.36776432,2.108e-05,0.47031517,-0.44494906,0.9006122,0.4465046,0.32197837
42,divergent_warmup_replay,7,4008,1.0,0.00058837,5.882e-05,0.03879506,0.10373827,0.868133,0.00041526,0.96038369,0.96027106,0.705787,4.172e-05,0.63850823,0.63798166,0.070913,True,2e-06,0.60145646,3.972e-05,0.59699588,-0.55182335,0.92158863,0.59971317,0.5626614
42,divergent_warmup_replay,8,4509,1.0,0.00062724,6.271e-05,0.03857455,0.10683078,0.867463,0.00045095,0.96484619,0.96473839,0.718945,4.219e-05,0.62621757,0.62499146,0.067267,True,1.599e-05,0.37944995,2.62e-05,0.49816284,-0.16608949,0.92627164,0.58764302,0.3408754
42,divergent_warmup_replay,9,5010,1.0,0.00076221,7.621e-05,0.03825812,0.11288522,0.870335,0.00054999,0.9664961,0.96639377,0.721569,3.675e-05,0.53674898,0.53541777,0.048209,True,4.47e-06,0.56061138,3.227e-05,0.42006138,-0.27973439,0.92823799,0.49849087,0.52235326
77,closed_loop,0,2001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,closed_loop,1,2502,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,closed_loop,2,3003,1.0,0.00019504,1.95e-05,0.07505528,0.07200271,0.970505,0.00010897,0.93433211,0.93387686,0.558696,1.261e-05,0.8996702,0.89897232,0.064628,True,2.5e-07,0.18584215,1.235e-05,0.88931173,-0.87421889,0.85927683,0.82461492,0.11078687
77,closed_loop,3,3504,1.0,0.00037145,3.714e-05,0.07853329,0.08751332,0.977629,0.00020855,0.93678409,0.93630485,0.561431,3.607e-05,0.96164518,0.9613674,0.097105,True,3.45e-06,0.25244102,3.262e-05,0.92820779,-0.8401095,0.8582508,0.88311189,0.17390773
77,closed_loop,4,4005,1.0,0.00043596,4.359e-05,0.07897264,0.10170232,0.980791,0.00024674,0.94310213,0.94266493,0.565961,2.771e-05,0.89857848,0.89774937,0.063569,True,3.46e-06,0.30895628,2.425e-05,0.85217907,-0.76491337,0.86412949,0.81960584,0.22998364
77,closed_loop,5,4506,1.0,0.00058932,5.892e-05,0.08006224,0.11583377,0.98259,0.00033429,0.94307356,0.94262466,0.567241,6.588e-05,0.79140832,0.79039791,0.111792,True,2.33e-06,0.22289385,6.356e-05,0.7782601,-0.76063412,0.86301132,0.71134608,0.1428316
77,closed_loop,6,5007,1.0,0.00053313,5.33e-05,0.07950949,0.12782905,0.984112,0.00030519,0.94583441,0.94540774,0.57244,4.986e-05,0.88036156,0.87941629,0.093525,True,1.575e-05,0.34914799,3.411e-05,0.80820143,-0.59772782,0.86632492,0.80085207,0.2696385
77,closed_loop,7,5508,1.0,0.00067715,6.77e-05,0.07941106,0.14199018,0.985948,0.00038505,0.93562424,0.9351205,0.568638,3.047e-05,0.85560992,0.85445338,0.044992,True,3.42e-06,0.51002916,2.704e-05,0.72722899,-0.51282366,0.85621318,0.77619886,0.4306181
77,closed_loop,8,6009,1.0,0.0008074,8.072e-05,0.07821299,0.15468503,0.988381,0.00045789,0.93403004,0.93353586,0.567116,5.331e-05,0.74700743,0.74546729,0.066022,True,1.032e-05,0.57625349,4.299e-05,0.57753902,-0.32737025,0.85581706,0.66879445,0.4980405
