seed,arm,capture_index,n_tagged,tag_only_alignment,tag_only_corr,novelty_factor_tag_corr,novelty_factor_slow_corr,surprise_factor_tag_corr,surprise_factor_slow_corr,pos_factor_slow_corr,neg_factor_slow_corr,novelty_factor_tagged_mean,novelty_factor_untagged_mean,top_tag_novelty_factor_mean,bot_tag_novelty_factor_mean,residual_novelty_corr,residual_surprise_corr,residual_pos_surprise_corr,residual_neg_surprise_corr,residual_novelty_alignment,residual_surprise_alignment,within_tag_novelty_corr,within_tag_surprise_corr,within_tag_pos_corr,within_tag_neg_corr,within_tag_h_norm_corr,shuffle_percentile_novelty,shuffle_percentile_surprise,novelty_alignment_original,surprise_alignment_original
42,closed_loop,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.60227481,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
42,closed_loop,1,13,1.0,1.0,0.00116518,0.00116518,-0.01819724,-0.01819724,-0.0020652,-0.01852475,0.57287418,0.60173842,0.65517748,0.54988572,0.0,0.0,0.0,0.0,0.0,0.0,0.12542918,-0.13131246,-0.07075324,-0.07808583,-0.12542918,0.78,0.3,0.98659632,0.79540844
42,closed_loop,2,26,1.0,1.0,0.01244021,0.01244021,-0.03687374,-0.03687374,0.00555587,-0.03813107,0.61205741,0.6022551,0.63156919,0.69007032,0.0,0.0,0.0,0.0,0.0,0.0,0.19286565,-0.03616819,0.2454952,-0.20275567,-0.19286565,0.7,0.79,0.94745465,0.87293071
42,closed_loop,3,26,1.0,1.0,0.00715814,0.00715814,-0.01669201,-0.01669201,-0.01851796,-0.00345374,0.61188169,0.60403754,0.63009094,0.69584163,0.0,0.0,0.0,0.0,0.0,0.0,0.09906115,-0.17229175,-0.29959283,0.0213525,-0.09906115,0.35,0.48,0.91920838,0.82855739
42,closed_loop,4,26,1.0,1.0,0.00739794,0.00739794,-0.02841423,-0.02841423,-0.01544355,-0.01816106,0.61258441,0.60445446,0.6315117,0.69742373,0.0,0.0,0.0,0.0,0.0,0.0,0.10295039,-0.31418129,-0.12439636,-0.2360395,-0.10295039,0.38,0.62,0.91953782,0.85025289
42,closed_loop,5,42,1.0,1.0,0.01570987,0.01570987,-0.02525861,-0.02525861,-0.0178233,-0.01231292,0.65863164,0.60573393,0.67453818,0.6675835,0.0,0.0,0.0,0.0,0.0,0.0,0.03381416,-0.28435058,-0.28803588,-0.08341254,-0.03381416,0.61,0.09,0.94797795,0.69253914
42,closed_loop,6,42,1.0,1.0,0.01590253,0.01590253,-0.00694691,-0.00694691,-0.0196522,0.00077479,0.66004559,0.60693732,0.67666856,0.6686516,0.0,0.0,0.0,0.0,0.0,0.0,0.03569933,0.05717673,-0.16971191,0.06059757,-0.03569933,0.61,0.72,0.94852117,0.86459369
42,closed_loop,7,42,1.0,1.0,0.02636441,0.02636441,-0.0251335,-0.0251335,0.00518351,-0.0256713,0.66161135,0.60852507,0.67968343,0.67122631,0.0,0.0,0.0,0.0,0.0,0.0,0.16509989,-0.11665803,-0.18740032,0.00340329,-0.16509989,0.68,0.43,0.96141968,0.82945767
42,closed_loop,8,42,1.0,1.0,0.03042177,0.03042177,-0.03147281,-0.03147281,-0.01615349,-0.02494737,0.66175518,0.60973177,0.73073163,0.67239445,0.0,0.0,0.0,0.0,0.0,0.0,0.21811952,-0.30080627,-0.0372478,-0.29386617,-0.21811952,0.89,0.47,0.96606299,0.81548513
42,closed_loop,9,42,1.0,1.0,0.03127086,0.03127086,-0.02247051,-0.02247051,-0.01994735,-0.00431969,0.6628215,0.61070459,0.73293445,0.67416643,0.0,0.0,0.0,0.0,0.0,0.0,0.22881314,-0.1510256,-0.04248917,-0.1279993,-0.22881314,0.93,0.33,0.96834076,0.79485366
42,exact_replay,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.60227481,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
42,exact_replay,1,13,1.0,1.0,0.00116518,0.00116518,-0.01819724,-0.01819724,-0.0020652,-0.01852475,0.57287418,0.60173842,0.65517748,0.54988572,0.0,0.0,0.0,0.0,0.0,0.0,0.12542918,-0.13131246,-0.07075324,-0.07808583,-0.12542918,nan,nan,0.98659632,0.79540844
42,exact_replay,2,26,1.0,1.0,0.01244021,0.01244021,-0.03687374,-0.03687374,0.00555587,-0.03813107,0.61205741,0.6022551,0.63156919,0.69007032,0.0,0.0,0.0,0.0,0.0,0.0,0.19286565,-0.03616819,0.2454952,-0.20275567,-0.19286565,nan,nan,0.94745465,0.87293071
42,exact_replay,3,26,1.0,1.0,0.00715814,0.00715814,-0.01669201,-0.01669201,-0.01851796,-0.00345374,0.61188169,0.60403754,0.63009094,0.69584163,0.0,0.0,0.0,0.0,0.0,0.0,0.09906115,-0.17229175,-0.29959283,0.0213525,-0.09906115,nan,nan,0.91920838,0.82855739
42,exact_replay,4,26,1.0,1.0,0.00739794,0.00739794,-0.02841423,-0.02841423,-0.01544355,-0.01816106,0.61258441,0.60445446,0.6315117,0.69742373,0.0,0.0,0.0,0.0,0.0,0.0,0.10295039,-0.31418129,-0.12439636,-0.2360395,-0.10295039,nan,nan,0.91953782,0.85025289
42,exact_replay,5,42,1.0,1.0,0.01570987,0.01570987,-0.02525861,-0.02525861,-0.0178233,-0.01231292,0.65863164,0.60573393,0.67453818,0.6675835,0.0,0.0,0.0,0.0,0.0,0.0,0.03381416,-0.28435058,-0.28803588,-0.08341254,-0.03381416,nan,nan,0.94797795,0.69253914
42,exact_replay,6,42,1.0,1.0,0.01590253,0.01590253,-0.00694691,-0.00694691,-0.0196522,0.00077479,0.66004559,0.60693732,0.67666856,0.6686516,0.0,0.0,0.0,0.0,0.0,0.0,0.03569933,0.05717673,-0.16971191,0.06059757,-0.03569933,nan,nan,0.94852117,0.86459369
42,exact_replay,7,42,1.0,1.0,0.02636441,0.02636441,-0.0251335,-0.0251335,0.00518351,-0.0256713,0.66161135,0.60852507,0.67968343,0.67122631,0.0,0.0,0.0,0.0,0.0,0.0,0.16509989,-0.11665803,-0.18740032,0.00340329,-0.16509989,nan,nan,0.96141968,0.82945767
42,exact_replay,8,42,1.0,1.0,0.03042177,0.03042177,-0.03147281,-0.03147281,-0.01615349,-0.02494737,0.66175518,0.60973177,0.73073163,0.67239445,0.0,0.0,0.0,0.0,0.0,0.0,0.21811952,-0.30080627,-0.0372478,-0.29386617,-0.21811952,nan,nan,0.96606299,0.81548513
42,exact_replay,9,42,1.0,1.0,0.03127086,0.03127086,-0.02247051,-0.02247051,-0.01994735,-0.00431969,0.6628215,0.61070459,0.73293445,0.67416643,0.0,0.0,0.0,0.0,0.0,0.0,0.22881314,-0.1510256,-0.04248917,-0.1279993,-0.22881314,nan,nan,0.96834076,0.79485366
42,divergent_warmup_replay,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.56253402,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
42,divergent_warmup_replay,1,13,1.0,1.0,-0.00158731,-0.00158731,0.00744485,0.00744485,-0.00714473,0.01124872,0.54073323,0.57715476,0.61458249,0.52352153,0.0,0.0,0.0,0.0,0.0,0.0,0.08403773,0.21490379,0.0,0.21490379,-0.08403773,nan,nan,0.98526524,0.9697108
42,divergent_warmup_replay,2,26,1.0,1.0,0.01003547,0.01003547,-0.02453709,-0.02453709,-0.01551805,-0.01444095,0.5876699,0.58565957,0.60470028,0.669228,0.0,0.0,0.0,0.0,0.0,0.0,0.1761368,-0.1814047,-0.20247974,0.01361193,-0.1761368,nan,nan,0.9439827,0.88238661
42,divergent_warmup_replay,3,26,1.0,1.0,0.00467603,0.00467603,0.00023941,0.00023941,-0.01651596,0.01003831,0.59014681,0.59000789,0.60467281,0.68120682,0.0,0.0,0.0,0.0,0.0,0.0,0.08113632,0.2807159,-0.14183391,0.28380021,-0.08113632,nan,nan,0.91459847,0.84561698
42,divergent_warmup_replay,4,26,1.0,1.0,0.0055941,0.0055941,-0.01330582,-0.01330582,-0.01320273,-0.00826742,0.59541416,0.59252073,0.61136776,0.68962219,0.0,0.0,0.0,0.0,0.0,0.0,0.08737542,-0.20447656,-0.18096539,-0.18117987,-0.08737542,nan,nan,0.91606974,0.85802784
42,divergent_warmup_replay,5,42,1.0,1.0,0.01472436,0.01472436,-0.02246027,-0.02246027,-0.02186777,-0.00188754,0.64676313,0.596052,0.65928872,0.65451556,0.0,0.0,0.0,0.0,0.0,0.0,0.02458464,0.04375014,-0.19088176,0.09951068,-0.02458464,nan,nan,0.94614229,0.85108477
42,divergent_warmup_replay,6,42,1.0,1.0,0.0151089,0.0151089,-0.03124452,-0.03124452,-0.02418254,-0.01325752,0.64789247,0.59595828,0.66034608,0.65114231,0.0,0.0,0.0,0.0,0.0,0.0,0.0248547,-0.06483616,-0.06618206,-0.05945398,-0.0248547,nan,nan,0.94639815,0.49229054
42,divergent_warmup_replay,7,42,1.0,1.0,0.02697861,0.02697861,0.01082723,0.01082723,-0.01508998,0.02298603,0.65089571,0.59786769,0.66912293,0.65096547,0.0,0.0,0.0,0.0,0.0,0.0,0.16628111,0.16319886,-0.20190302,0.22485702,-0.16628111,nan,nan,0.96038369,0.63850823
42,divergent_warmup_replay,8,42,1.0,1.0,0.03123701,0.03123701,-0.02695427,-0.02695427,0.00139795,-0.02751829,0.65207031,0.59891126,0.7179272,0.65205134,0.0,0.0,0.0,0.0,0.0,0.0,0.21579816,-0.19776543,0.05307691,-0.24782967,-0.21579816,nan,nan,0.96484619,0.62621757
42,divergent_warmup_replay,9,42,1.0,1.0,0.0318731,0.0318731,-0.03343317,-0.03343317,-0.02207541,-0.01806169,0.65152036,0.59960309,0.71795609,0.64780201,0.0,0.0,0.0,0.0,0.0,0.0,0.22711594,-0.18979538,-0.18685453,-0.12205713,-0.22711594,nan,nan,0.9664961,0.53674898
77,closed_loop,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.54520404,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
77,closed_loop,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.56107679,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0
77,closed_loop,2,71,1.0,1.0,-0.00499264,-0.00499264,-0.03806459,-0.03806459,-0.01491124,-0.03048918,0.58564591,0.57305302,0.54309094,0.61850797,0.0,0.0,0.0,0.0,0.0,0.0,-0.10665768,-0.22137011,0.02179118,-0.21366119,0.10665768,0.79,0.96,0.93433211,0.8996702
77,closed_loop,3,79,1.0,1.0,-0.00608454,-0.00608454,0.01830434,0.01830434,-0.01623711,0.02817906,0.58775633,0.5783228,0.54304581,0.57450772,0.0,0.0,0.0,0.0,0.0,0.0,-0.10090607,-0.01579994,-0.03164036,0.00336191,0.10090607,0.59,1.0,0.93678409,0.96164518
77,closed_loop,4,79,1.0,1.0,-0.00566889,-0.00566889,-0.02949699,-0.02949699,-0.02296988,-0.01151403,0.58964069,0.58160352,0.54585415,0.57800932,0.0,0.0,0.0,0.0,0.0,0.0,-0.09150887,-0.22467438,-0.23915598,-0.07864172,0.09150887,0.79,0.99,0.94310213,0.89857848
77,closed_loop,5,79,1.0,1.0,-0.00693183,-0.00693183,0.00569453,0.00569453,-0.03199366,0.03019035,0.59343842,0.58623476,0.56376625,0.58669496,0.0,0.0,0.0,0.0,0.0,0.0,-0.10279761,0.08710471,-0.11745133,0.11992163,0.10279761,0.75,0.39,0.94307356,0.79140832
77,closed_loop,6,79,1.0,1.0,-0.00543663,-0.00543663,-0.019205,-0.019205,-0.01111828,-0.01040302,0.59367457,0.58711466,0.57146291,0.58361176,0.0,0.0,0.0,0.0,0.0,0.0,-0.08439696,-0.19701155,-0.3586262,0.37061601,0.08439696,0.8,0.92,0.94583441,0.88036156
77,closed_loop,7,79,1.0,1.0,-0.00680008,-0.00680008,-0.04947179,-0.04947179,-0.01996535,-0.035902,0.59303588,0.58723591,0.55127042,0.58126479,0.0,0.0,0.0,0.0,0.0,0.0,-0.09463699,-0.35000437,0.33864122,-0.37995955,0.09463699,0.6,0.79,0.93562424,0.85560992
77,closed_loop,8,79,1.0,1.0,-0.00796278,-0.00796278,-0.01580108,-0.01580108,-0.00652871,-0.0113189,0.59428969,0.58952028,0.54144255,0.584533,0.0,0.0,0.0,0.0,0.0,0.0,-0.10051338,-0.10268093,0.44144592,-0.18647813,0.10051338,0.57,0.06,0.93403004,0.74700743
77,closed_loop,9,79,1.0,1.0,-0.00781717,-0.00781717,-0.01246561,-0.01246561,-0.0247481,0.00093321,0.59826191,0.59160662,0.54273123,0.58877421,0.0,0.0,0.0,0.0,0.0,0.0,-0.10364694,-0.09305359,0.03055375,-0.09356027,0.10364694,0.54,0.97,0.93703194,0.90639012
77,closed_loop,10,79,1.0,1.0,-0.00693574,-0.00693574,0.06564179,0.06564179,-0.00080173,0.06523624,0.60215555,0.59294803,0.54767689,0.59142278,0.0,0.0,0.0,0.0,0.0,0.0,-0.10402924,0.3855965,0.08677366,0.34407431,0.10402924,0.61,0.07,0.94010223,0.72241195
77,exact_replay,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.54520404,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
77,exact_replay,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.56107679,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
77,exact_replay,2,71,1.0,1.0,-0.00499264,-0.00499264,-0.03806459,-0.03806459,-0.01491124,-0.03048918,0.58564591,0.57305302,0.54309094,0.61850797,0.0,0.0,0.0,0.0,0.0,0.0,-0.10665768,-0.22137011,0.02179118,-0.21366119,0.10665768,nan,nan,0.93433211,0.8996702
77,exact_replay,3,79,1.0,1.0,-0.00608454,-0.00608454,0.01830434,0.01830434,-0.01623711,0.02817906,0.58775633,0.5783228,0.54304581,0.57450772,0.0,0.0,0.0,0.0,0.0,0.0,-0.10090607,-0.01579994,-0.03164036,0.00336191,0.10090607,nan,nan,0.93678409,0.96164518
77,exact_replay,4,79,1.0,1.0,-0.00566889,-0.00566889,-0.02949699,-0.02949699,-0.02296988,-0.01151403,0.58964069,0.58160352,0.54585415,0.57800932,0.0,0.0,0.0,0.0,0.0,0.0,-0.09150887,-0.22467438,-0.23915598,-0.07864172,0.09150887,nan,nan,0.94310213,0.89857848
77,exact_replay,5,79,1.0,1.0,-0.00693183,-0.00693183,0.00569453,0.00569453,-0.03199366,0.03019035,0.59343842,0.58623476,0.56376625,0.58669496,0.0,0.0,0.0,0.0,0.0,0.0,-0.10279761,0.08710471,-0.11745133,0.11992163,0.10279761,nan,nan,0.94307356,0.79140832
77,exact_replay,6,79,1.0,1.0,-0.00543663,-0.00543663,-0.019205,-0.019205,-0.01111828,-0.01040302,0.59367457,0.58711466,0.57146291,0.58361176,0.0,0.0,0.0,0.0,0.0,0.0,-0.08439696,-0.19701155,-0.3586262,0.37061601,0.08439696,nan,nan,0.94583441,0.88036156
77,exact_replay,7,79,1.0,1.0,-0.00680008,-0.00680008,-0.04947179,-0.04947179,-0.01996535,-0.035902,0.59303588,0.58723591,0.55127042,0.58126479,0.0,0.0,0.0,0.0,0.0,0.0,-0.09463699,-0.35000437,0.33864122,-0.37995955,0.09463699,nan,nan,0.93562424,0.85560992
77,exact_replay,8,79,1.0,1.0,-0.00796278,-0.00796278,-0.01580108,-0.01580108,-0.00652871,-0.0113189,0.59428969,0.58952028,0.54144255,0.584533,0.0,0.0,0.0,0.0,0.0,0.0,-0.10051338,-0.10268093,0.44144592,-0.18647813,0.10051338,nan,nan,0.93403004,0.74700743
77,exact_replay,9,79,1.0,1.0,-0.00781717,-0.00781717,-0.01246561,-0.01246561,-0.0247481,0.00093321,0.59826191,0.59160662,0.54273123,0.58877421,0.0,0.0,0.0,0.0,0.0,0.0,-0.10364694,-0.09305359,0.03055375,-0.09356027,0.10364694,nan,nan,0.93703194,0.90639012
77,exact_replay,10,79,1.0,1.0,-0.00693574,-0.00693574,0.06564179,0.06564179,-0.00080173,0.06523624,0.60215555,0.59294803,0.54767689,0.59142278,0.0,0.0,0.0,0.0,0.0,0.0,-0.10402924,0.3855965,0.08677366,0.34407431,0.10402924,nan,nan,0.94010223,0.72241195
77,divergent_warmup_replay,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.59495347,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
77,divergent_warmup_replay,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.59906236,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0
77,divergent_warmup_replay,2,71,1.0,1.0,-0.00499412,-0.00499412,-0.02024098,-0.02024098,-0.03030137,0.0022001,0.60717655,0.59894945,0.5699025,0.63488541,0.0,0.0,0.0,0.0,0.0,0.0,-0.09181101,-0.25939415,0.05132198,-0.25838993,0.09181101,nan,nan,0.93956722,0.91077252
77,divergent_warmup_replay,3,79,1.0,1.0,-0.00651145,-0.00651145,-0.02016674,-0.02016674,-0.0125919,-0.01142889,0.60875519,0.60021469,0.56538122,0.5926506,0.0,0.0,0.0,0.0,0.0,0.0,-0.10237988,0.06496675,-0.15723183,0.21465743,0.10237988,nan,nan,0.93800406,0.81497552
77,divergent_warmup_replay,4,79,1.0,1.0,-0.00590893,-0.00590893,-0.02249515,-0.02249515,0.00808808,-0.03131797,0.60932948,0.60146682,0.56360215,0.59386816,0.0,0.0,0.0,0.0,0.0,0.0,-0.09434569,-0.17527216,0.0082946,-0.24263663,0.09434569,nan,nan,0.94779551,0.62243136
77,divergent_warmup_replay,5,79,1.0,1.0,-0.00676316,-0.00676316,0.02906045,0.02906045,-0.00479275,0.03853771,0.60688953,0.60050489,0.57844839,0.59248099,0.0,0.0,0.0,0.0,0.0,0.0,-0.09889396,0.17489799,-0.07327436,0.22798238,0.09889396,nan,nan,0.94690551,0.81568308
77,divergent_warmup_replay,6,79,1.0,1.0,-0.00645193,-0.00645193,0.03131476,0.03131476,-0.00044359,0.03377526,0.60695472,0.60106872,0.58061353,0.59468701,0.0,0.0,0.0,0.0,0.0,0.0,-0.0941056,0.03508597,-0.21929099,0.34849538,0.0941056,nan,nan,0.94871093,0.80034616
77,divergent_warmup_replay,7,79,1.0,1.0,-0.00672771,-0.00672771,-0.0082262,-0.0082262,-0.0215787,0.00787078,0.60842369,0.60023156,0.56210329,0.59281421,0.0,0.0,0.0,0.0,0.0,0.0,-0.10513695,0.01144234,-0.18111121,0.17802929,0.10513695,nan,nan,0.94032975,0.76860284
77,divergent_warmup_replay,8,79,1.0,1.0,-0.00643009,-0.00643009,-0.02928426,-0.02928426,0.01529257,-0.03949633,0.60537749,0.59922014,0.55823125,0.59287901,0.0,0.0,0.0,0.0,0.0,0.0,-0.09150103,-0.13660974,0.08203181,-0.19316812,0.09150103,nan,nan,0.94039448,0.85924292
77,divergent_warmup_replay,9,79,1.0,1.0,-0.00679837,-0.00679837,-0.00218381,-0.00218381,0.00082122,-0.00286741,0.60600079,0.59920409,0.55421063,0.59398791,0.0,0.0,0.0,0.0,0.0,0.0,-0.09534307,-0.00180768,0.02952331,-0.02554706,0.09534307,nan,nan,0.94147721,0.84527801
77,divergent_warmup_replay,10,79,1.0,1.0,-0.00679886,-0.00679886,-0.01279466,-0.01279466,-0.01918221,-0.0008599,0.60734589,0.59935618,0.5538195,0.59547056,0.0,0.0,0.0,0.0,0.0,0.0,-0.099234,0.26985294,-0.08514585,0.29531587,0.099234,nan,nan,0.94057154,0.89202901
