seed,arm,event_type,n_connections,n_tagged,tag_rate,h_tag_ratio,novelty_tag_ratio,auc_h_inverted,auc_novelty,auc_surprise,auc_pos,auc_neg,corr_h_tag_strength,corr_novelty_tag_strength,corr_surprise_tag_strength,shuffle_percentile_novelty_auc,shuffle_percentile_surprise_auc,topology_confound_flag,best_predictor,verdict
42,closed_loop,ALL,53820,223,0.004143,0.949199,1.081487,0.534468,0.565244,0.433468,0.428407,0.462923,-0.273566,0.236324,-0.314425,1.0,0.0,False,novelty,historical_context_influences_tag_formation
42,closed_loop,L,26910,65,0.002415,0.934561,1.088075,0.54829,0.591059,0.416933,0.47992,0.453632,-0.182605,0.224432,-0.203365,0.98,0.04,False,novelty,historical_context_influences_tag_formation
42,closed_loop,R,26910,158,0.005871,0.911406,1.077843,0.543378,0.553181,0.436902,0.469301,0.470289,-0.324543,0.298085,-0.369909,0.99,0.0,False,novelty,historical_context_influences_tag_formation
42,divergent_warmup_replay,ALL,53820,223,0.004143,0.978006,1.084855,0.526286,0.569554,0.400396,0.403943,0.458607,-0.285984,0.212734,-0.113467,1.0,0.0,False,novelty,historical_context_influences_tag_formation
42,divergent_warmup_replay,L,26910,65,0.002415,0.975591,1.084845,0.526083,0.587652,0.409857,0.420967,0.470706,-0.175656,0.209135,-0.03715,1.0,0.03,False,novelty,historical_context_influences_tag_formation
42,divergent_warmup_replay,R,26910,158,0.005871,0.923424,1.08122,0.544647,0.558716,0.408843,0.447447,0.459814,-0.335937,0.295463,-0.209023,1.0,0.0,False,novelty,historical_context_influences_tag_formation
42,exact_replay,ALL,53820,223,0.004143,0.949199,1.081487,0.534468,0.565244,0.433468,0.428407,0.462923,-0.273566,0.236324,-0.314425,1.0,0.0,False,novelty,historical_context_influences_tag_formation
42,exact_replay,L,26910,65,0.002415,0.934561,1.088075,0.54829,0.591059,0.416933,0.47992,0.453632,-0.182605,0.224432,-0.203365,0.99,0.03,False,novelty,historical_context_influences_tag_formation
42,exact_replay,R,26910,158,0.005871,0.911406,1.077843,0.543378,0.553181,0.436902,0.469301,0.470289,-0.324543,0.298085,-0.369909,0.97,0.0,False,novelty,historical_context_influences_tag_formation
77,closed_loop,ALL,62790,493,0.007852,1.007989,1.030071,0.491829,0.521084,0.479522,0.45426,0.516592,0.054034,-0.049172,-0.117879,0.95,0.3,False,novelty,historical_context_influences_tag_formation
77,closed_loop,L,40365,325,0.008052,0.951076,1.045316,0.523237,0.534001,0.470515,0.475314,0.50707,0.091122,-0.109032,-0.07935,0.99,0.07,False,novelty,historical_context_influences_tag_formation
77,closed_loop,R,22425,168,0.007492,1.15201,0.99893,0.416407,0.495274,0.495367,0.443375,0.533377,-0.067392,0.083263,-0.180063,0.38,0.95,False,neg,null
77,divergent_warmup_replay,ALL,62790,493,0.007852,0.995702,1.026899,0.496492,0.516289,0.477401,0.476101,0.499601,0.055864,-0.041215,-0.032914,0.87,0.13,False,novelty,weak_signal
77,divergent_warmup_replay,L,40365,325,0.008052,0.937883,1.048844,0.527115,0.53326,0.47306,0.471901,0.505565,0.105147,-0.108731,0.004819,0.98,0.09,False,novelty,historical_context_influences_tag_formation
77,divergent_warmup_replay,R,22425,168,0.007492,1.136802,0.984422,0.423538,0.482749,0.485922,0.482412,0.490793,-0.095839,0.109108,-0.117371,0.23,0.74,False,neg,null
77,exact_replay,ALL,62790,493,0.007852,1.007989,1.030071,0.491829,0.521084,0.479522,0.45426,0.516592,0.054034,-0.049172,-0.117879,0.94,0.38,False,novelty,historical_context_influences_tag_formation
77,exact_replay,L,40365,325,0.008052,0.951076,1.045316,0.523237,0.534001,0.470515,0.475314,0.50707,0.091122,-0.109032,-0.07935,1.0,0.02,False,novelty,historical_context_influences_tag_formation
77,exact_replay,R,22425,168,0.007492,1.15201,0.99893,0.416407,0.495274,0.495367,0.443375,0.533377,-0.067392,0.083263,-0.180063,0.38,0.88,False,neg,null
123,closed_loop,ALL,35880,225,0.006271,1.242339,0.888345,0.399442,0.427814,0.548909,0.44927,0.537084,0.199572,-0.267007,0.032268,0.0,0.95,False,surprise,null
123,closed_loop,L,13455,109,0.008101,1.144508,0.930275,0.434337,0.448092,0.530734,0.505931,0.507445,0.067862,-0.139403,-0.045316,0.02,0.9,False,surprise,null
123,closed_loop,R,22425,116,0.005173,1.31067,0.847964,0.376417,0.408047,0.569267,0.413087,0.574015,0.318356,-0.388306,0.087564,0.0,0.96,False,neg,null
123,divergent_warmup_replay,ALL,35880,225,0.006271,1.241324,0.885563,0.402099,0.427397,0.603843,0.427942,0.594849,0.175003,-0.237526,0.01012,0.0,1.0,False,surprise,null
123,divergent_warmup_replay,L,13455,109,0.008101,1.161857,0.916237,0.428774,0.441487,0.627926,0.427735,0.613021,0.053369,-0.113604,-0.061774,0.02,1.0,False,surprise,null
123,divergent_warmup_replay,R,22425,116,0.005173,1.292575,0.85581,0.384456,0.413705,0.577623,0.410537,0.568706,0.296952,-0.367155,0.1085,0.0,0.91,False,surprise,null
123,exact_replay,ALL,35880,225,0.006271,1.242339,0.888345,0.399442,0.427814,0.548909,0.44927,0.537084,0.199572,-0.267007,0.032268,0.0,0.96,False,surprise,null
123,exact_replay,L,13455,109,0.008101,1.144508,0.930275,0.434337,0.448092,0.530734,0.505931,0.507445,0.067862,-0.139403,-0.045316,0.02,0.88,False,surprise,null
