seed,arm,event_type,subgraph,src_region,tgt_region,n_connections,n_tagged,tag_rate,mean_h_tagged,mean_h_untagged,h_tag_ratio,novelty_tag_ratio,mean_phi_tagged,mean_phi_untagged,auc_h_inverted,auc_novelty,auc_surprise,auc_pos,auc_neg,phi_mass,phi_mass_per_conn,tag_delta_mass,event_pair_dW_l1,shuffle_percentile_novelty,shuffle_percentile_surprise,high_h_tag_rate,low_h_tag_rate,within_auc_novelty,best_predictor,group_verdict
42,closed_loop,ALL,ALL,ALL,ALL,53820,223,0.004143,0.121626,0.128135,0.949199,1.081487,0.312293,0.360335,0.534468,0.565244,0.433468,0.428407,0.462923,19382.534414,0.360136,0.0011,0.0011,1.0,0.0,0.003828,0.004459,0.565244,novelty,novelty_pass
42,closed_loop,ALL,LL,L,L,11808,30,0.002541,0.163946,0.130853,1.252908,0.82132,0.475897,0.366962,0.420032,0.411663,0.459925,0.557961,0.51142,4336.357133,0.367239,0.000162,0.000162,0.03,0.0,0.003049,0.002033,0.411663,pos,novelty_inverse
42,closed_loop,ALL,LM,L,M,1824,0,0.0,nan,0.126821,nan,nan,nan,0.354704,nan,nan,nan,nan,nan,646.980497,0.354704,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,ALL,LR,L,R,11352,78,0.006871,0.150021,0.132804,1.129644,0.972642,0.376281,0.37393,0.444532,0.479695,0.535962,0.36675,0.553991,4245.041317,0.373947,0.000283,0.000283,0.3,0.99,0.008104,0.005638,0.479695,neg,novelty_inverse_surprise_pass
42,closed_loop,ALL,ML,M,L,2100,0,0.0,nan,0.134232,nan,nan,nan,0.37631,nan,nan,nan,nan,nan,790.25013,0.37631,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,ALL,MM,M,M,228,0,0.0,nan,0.116113,nan,nan,nan,0.325467,nan,nan,nan,nan,nan,74.206365,0.325467,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,ALL,MR,M,R,2064,0,0.0,nan,0.122334,nan,nan,nan,0.343935,nan,nan,nan,nan,nan,709.881347,0.343935,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,ALL,RL,R,L,11256,35,0.003109,0.063485,0.130456,0.486641,1.338684,0.17437,0.366455,0.729232,0.763925,0.355896,0.614076,0.377952,4118.094,0.365858,0.000338,0.000338,1.0,0.07,0.001066,0.005153,0.763925,novelty,novelty_pass
42,closed_loop,ALL,RM,R,M,1656,0,0.0,nan,0.132473,nan,nan,nan,0.373185,nan,nan,nan,nan,nan,617.994456,0.373185,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,ALL,RR,R,R,11532,80,0.006937,0.103506,0.118218,0.875553,1.148805,0.248895,0.3339,0.575767,0.619998,0.36681,0.36131,0.415382,3843.72917,0.33331,0.000317,0.000317,1.0,0.0,0.005723,0.008151,0.619998,novelty,novelty_pass
42,closed_loop,L,ALL,ALL,ALL,26910,65,0.002415,0.109852,0.117544,0.934561,1.088075,0.313537,0.359408,0.54829,0.591059,0.416933,0.47992,0.453632,9668.697798,0.359298,0.0005,0.0005,1.0,0.04,0.001932,0.002899,0.591059,novelty,novelty_pass
42,closed_loop,L,LL,L,L,5904,30,0.005081,0.163946,0.119891,1.367459,0.822309,0.475897,0.3636,0.386171,0.412524,0.461463,0.438866,0.495727,2150.062202,0.36417,0.000162,0.000162,0.04,0.0,0.006775,0.003388,0.412524,neg,novelty_inverse
42,closed_loop,L,LM,L,M,912,0,0.0,nan,0.116334,nan,nan,nan,0.35819,nan,nan,nan,nan,nan,326.669423,0.35819,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,L,LR,L,R,5676,0,0.0,nan,0.121945,nan,nan,nan,0.372936,nan,nan,nan,nan,nan,2116.782844,0.372936,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,L,ML,M,L,1050,0,0.0,nan,0.12308,nan,nan,nan,0.379313,nan,nan,nan,nan,nan,398.278769,0.379313,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,L,MM,M,M,114,0,0.0,nan,0.106686,nan,nan,nan,0.330778,nan,nan,nan,nan,nan,37.708721,0.330778,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,L,MR,M,R,1032,0,0.0,nan,0.112296,nan,nan,nan,0.347687,nan,nan,nan,nan,nan,358.812526,0.347687,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,L,RL,R,L,5628,35,0.006219,0.063485,0.119823,0.529825,1.342193,0.17437,0.365814,0.703119,0.766453,0.360706,0.508442,0.37337,2052.101726,0.364624,0.000338,0.000338,1.0,0.18,0.002132,0.010306,0.766453,novelty,novelty_pass
42,closed_loop,L,RM,R,M,828,0,0.0,nan,0.121456,nan,nan,nan,0.376283,nan,nan,nan,nan,nan,311.562123,0.376283,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,L,RR,R,R,5766,0,0.0,nan,0.108385,nan,nan,nan,0.332418,nan,nan,nan,nan,nan,1916.719464,0.332418,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,R,ALL,ALL,ALL,26910,158,0.005871,0.126469,0.138763,0.911406,1.077843,0.311782,0.361266,0.543378,0.553181,0.436902,0.469301,0.470289,9713.836616,0.360975,0.0006,0.0006,0.99,0.0,0.005277,0.006466,0.553181,novelty,novelty_pass
42,closed_loop,R,LL,L,L,5904,0,0.0,nan,0.141758,nan,nan,nan,0.370307,nan,nan,nan,nan,nan,2186.29493,0.370307,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,R,LM,L,M,912,0,0.0,nan,0.137308,nan,nan,nan,0.351218,nan,nan,nan,nan,nan,320.311073,0.351218,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,R,LR,L,R,5676,78,0.013742,0.150021,0.143815,1.043158,0.970782,0.376281,0.374939,0.478319,0.478232,0.53007,0.467914,0.562028,2128.258473,0.374957,0.000283,0.000283,0.26,0.97,0.014094,0.01339,0.478232,neg,novelty_inverse_surprise_pass
42,closed_loop,R,ML,M,L,1050,0,0.0,nan,0.145383,nan,nan,nan,0.373306,nan,nan,nan,nan,nan,391.97136,0.373306,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,R,MM,M,M,114,0,0.0,nan,0.125539,nan,nan,nan,0.320155,nan,nan,nan,nan,nan,36.497644,0.320155,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
42,closed_loop,R,MR,M,R,1032,0,0.0,nan,0.132372,nan,nan,nan,0.340183,nan,nan,nan,nan,nan,351.068821,0.340183,0.0,0.0,nan,nan,0.0,0.0,nan,h_inv,no_tags
