seed,arm,event_type,subgraph,n_connections,trace_src_positive_rate,phi_tgt_positive_rate,raw_support_rate,dW_support_rate,tag_support_rate,raw_vs_trace_phi_mismatch_count,raw_vs_dW_mismatch_count,dW_vs_tag_mismatch_count,trace_src_l1,phi_tgt_l1,raw_l1,dW_l1,tag_delta_l1,raw_l1_to_dW_l1_scale,corr_h_trace_src,corr_h_phi_tgt,support_geometry_verdict
42,closed_loop,ALL,ALL,53820,0.079599,0.047157,0.004143,0.004143,0.004143,0,0,0,19.339094,13.265068,0.006112,0.0011,0.0011,0.179974,0.001332,-0.031335,trace_phi_support_identity_confirmed
42,closed_loop,ALL,LL,11808,0.061484,0.043191,0.002541,0.002541,0.002541,0,0,0,2.686787,2.31121,0.00044,0.000162,0.000162,0.369019,0.090552,0.028267,trace_phi_support_identity_confirmed
42,closed_loop,ALL,LM,1824,0.072368,0.0,0.0,0.0,0.0,0,0,0,0.406962,0.0,0.0,0.0,0.0,nan,0.058886,nan,trace_phi_support_identity_confirmed
42,closed_loop,ALL,LR,11352,0.073643,0.065011,0.006871,0.006871,0.006871,0,0,0,3.713553,3.920838,0.001624,0.000283,0.000283,0.174099,0.105344,-0.051842,trace_phi_support_identity_confirmed
42,closed_loop,ALL,ML,2100,0.0,0.037143,0.0,0.0,0.0,0,0,0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.082915,trace_phi_support_identity_confirmed
42,closed_loop,ALL,MM,228,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,trace_phi_support_identity_confirmed
42,closed_loop,ALL,MR,2064,0.0,0.061047,0.0,0.0,0.0,0,0,0,0.0,0.62967,0.0,0.0,0.0,nan,nan,-0.113716,trace_phi_support_identity_confirmed
42,closed_loop,ALL,RL,11256,0.103056,0.031983,0.003109,0.003109,0.003109,0,0,0,5.54353,1.862089,0.001171,0.000338,0.000338,0.288291,-0.044168,0.013557,trace_phi_support_identity_confirmed
42,closed_loop,ALL,RM,1656,0.078502,0.0,0.0,0.0,0.0,0,0,0,0.628486,0.0,0.0,0.0,0.0,nan,-0.124009,nan,trace_phi_support_identity_confirmed
42,closed_loop,ALL,RR,11532,0.11273,0.062955,0.006937,0.006937,0.006937,0,0,0,6.359776,4.004298,0.002877,0.000317,0.000317,0.110286,-0.045328,-0.079295,trace_phi_support_identity_confirmed
42,closed_loop,L,ALL,26910,0.076737,0.035229,0.002415,0.002415,0.002415,0,0,0,9.739187,4.710262,0.001611,0.0005,0.0005,0.310344,0.003125,0.050889,trace_phi_support_identity_confirmed
42,closed_loop,L,LL,5904,0.055894,0.086382,0.005081,0.005081,0.005081,0,0,0,1.301228,2.31121,0.00044,0.000162,0.000162,0.369019,0.080093,0.06792,trace_phi_support_identity_confirmed
42,closed_loop,L,LM,912,0.065789,0.0,0.0,0.0,0.0,0,0,0,0.197094,0.0,0.0,0.0,0.0,nan,0.052069,nan,trace_phi_support_identity_confirmed
42,closed_loop,L,LR,5676,0.066949,0.0,0.0,0.0,0.0,0,0,0,1.798497,0.0,0.0,0.0,0.0,nan,0.093839,nan,trace_phi_support_identity_confirmed
42,closed_loop,L,ML,1050,0.0,0.074286,0.0,0.0,0.0,0,0,0,0.0,0.536963,0.0,0.0,0.0,nan,nan,0.151781,trace_phi_support_identity_confirmed
42,closed_loop,L,MM,114,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,trace_phi_support_identity_confirmed
42,closed_loop,L,MR,1032,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,trace_phi_support_identity_confirmed
