seed,arm,event_type,subgraph,n_connections,dW_support_rate,tag_support_rate,phi_proxy_positive_rate,phi_proxy_dW_match_rate,phi_proxy_false_positive_rate,phi_proxy_false_negative_rate,tag_dW_match_rate,dW_l1,tag_delta_l1,mean_phi_dW_supported,mean_phi_dW_unsupported,mean_h_dW_supported,mean_h_dW_unsupported,h_support_ratio,phi_support_ratio,corr_h_dW_support,corr_phi_dW_support,support_geometry_verdict
42,closed_loop,ALL,ALL,53820,0.004143,0.004143,1.0,0.004143,0.995857,0.0,1.0,0.0011,0.0011,0.312293,0.360335,0.121626,0.128135,0.949199,0.866674,-0.00447,-0.012354,proxy_phi_support_insufficient
42,closed_loop,ALL,LL,11808,0.002541,0.002541,1.0,0.002541,0.997459,0.0,1.0,0.000162,0.000162,0.475897,0.366962,0.163946,0.130853,1.252908,1.296857,0.017924,0.022156,proxy_phi_support_insufficient
42,closed_loop,ALL,LM,1824,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.354704,nan,0.126821,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,ALL,LR,11352,0.006871,0.006871,1.0,0.006871,0.993129,0.0,1.0,0.000283,0.000283,0.376281,0.37393,0.150021,0.132804,1.129644,1.006287,0.014564,0.000746,proxy_phi_support_insufficient
42,closed_loop,ALL,ML,2100,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.37631,nan,0.134232,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,ALL,MM,228,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.325467,nan,0.116113,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,ALL,MR,2064,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.343935,nan,0.122334,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,ALL,RL,11256,0.003109,0.003109,1.0,0.003109,0.996891,0.0,1.0,0.000338,0.000338,0.17437,0.366455,0.063485,0.130456,0.486641,0.47583,-0.0401,-0.043191,proxy_phi_support_insufficient
42,closed_loop,ALL,RM,1656,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.373185,nan,0.132473,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,ALL,RR,11532,0.006937,0.006937,1.0,0.006937,0.993063,0.0,1.0,0.000317,0.000317,0.248895,0.3339,0.103506,0.118218,0.875553,0.745419,-0.013626,-0.029161,proxy_phi_support_insufficient
42,closed_loop,L,ALL,26910,0.002415,0.002415,1.0,0.002415,0.997585,0.0,1.0,0.0005,0.0005,0.313537,0.359408,0.109852,0.117544,0.934561,0.872369,-0.004288,-0.008976,proxy_phi_support_insufficient
42,closed_loop,L,LL,5904,0.005081,0.005081,1.0,0.005081,0.994919,0.0,1.0,0.000162,0.000162,0.475897,0.3636,0.163946,0.119891,1.367459,1.308849,0.035769,0.03216,proxy_phi_support_insufficient
42,closed_loop,L,LM,912,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.35819,nan,0.116334,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,L,LR,5676,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.372936,nan,0.121945,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,L,ML,1050,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.379313,nan,0.12308,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,L,MM,114,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.330778,nan,0.106686,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,L,MR,1032,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.347687,nan,0.112296,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,L,RL,5628,0.006219,0.006219,1.0,0.006219,0.993781,0.0,1.0,0.000338,0.000338,0.17437,0.365814,0.063485,0.119823,0.529825,0.476664,-0.050539,-0.060517,proxy_phi_support_insufficient
42,closed_loop,L,RM,828,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.376283,nan,0.121456,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,L,RR,5766,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.332418,nan,0.108385,nan,nan,nan,nan,proxy_phi_support_insufficient
42,closed_loop,R,ALL,26910,0.005871,0.005871,1.0,0.005871,0.994129,0.0,1.0,0.0006,0.0006,0.311782,0.361266,0.126469,0.138763,0.911406,0.863027,-0.009626,-0.0152,proxy_phi_support_insufficient
42,closed_loop,R,LL,5904,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.370307,nan,0.141758,nan,nan,nan,nan,proxy_phi_support_insufficient
