condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec,manip_lr_abs_weight_mean_after,manip_lr_connection_count,manip_lr_abs_weight_mean_before
lr_low,A_L,L then R,0.0001,120000,0.2961839910411326,0.3714029631806305,0.45,0.0009592652848639911,0.3455135716337687,0.3000000000000003,2.31208578932067,413.53745317459106,0.23848867543810154,13,0.4769773508762031
lr_low,A_R,R then L,0.0001,120000,0.2789381166096996,0.355929014091414,0.4266666666666667,0.0009588419922570711,0.34551153909090976,0.29999999999999943,2.307652561585945,463.8861265182495,0.23848867543810154,13,0.4769773508762031
lr_low,C,repeat A_L,0.0001,120000,0.2961839910411326,0.3714029631806305,0.45,0.0009592652848639911,0.3455135716337687,0.3000000000000003,2.31208578932067,443.24346470832825,0.23848867543810154,13,0.4769773508762031
lr_low,D_L,plasticity off (L then R),0.0,120000,0.37100462521097277,0.39393465472898676,0.49666666666666665,0.0005716620361274312,0.5724054813058671,0.49626476890182714,2.175369704470463,307.7632989883423,0.23848867543810154,13,0.4769773508762031
lr_low,D_R,plasticity off (R then L),0.0,120000,0.37352212282302966,0.3831400439512736,0.5033333333333333,0.0005716620361274312,0.5724054813058671,0.49626476890182714,2.161699890933443,315.15053725242615,0.23848867543810154,13,0.4769773508762031
baseline,A_L,L then R,0.0001,120000,0.3058509897497449,0.3533479682438662,0.44333333333333336,0.0008510039057512091,0.345374547819212,0.3000000000000007,2.3583212744322353,414.3006286621094,0.4769773508762031,13,0.4769773508762031
baseline,A_R,R then L,0.0001,120000,0.31498985650316086,0.34966402914551103,0.4666666666666667,0.0008493504105821761,0.3453810064823188,0.3000000000000008,2.3870836042111665,394.09193682670593,0.4769773508762031,13,0.4769773508762031
baseline,C,repeat A_L,0.0001,120000,0.3058509897497449,0.3533479682438662,0.44333333333333336,0.0008510039057512091,0.345374547819212,0.3000000000000007,2.3583212744322353,395.2340042591095,0.4769773508762031,13,0.4769773508762031
baseline,D_L,plasticity off (L then R),0.0,120000,0.375682444321743,0.3760323374998449,0.5066666666666667,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.1676930234271654,272.4216687679291,0.4769773508762031,13,0.4769773508762031
baseline,D_R,plasticity off (R then L),0.0,120000,0.37294750837591767,0.3901202025532386,0.5,0.00040026882538335466,0.5729731432465665,0.4969560404248361,2.2440491602599515,292.6472165584564,0.4769773508762031,13,0.4769773508762031
lr_high,A_L,L then R,0.0001,120000,0.28388987841850816,0.36156889280752874,0.42333333333333334,0.0007724837776316302,0.34536484092857445,0.3000000000000002,2.3128040326746775,346.03311252593994,0.7518919085622288,13,0.4769773508762031
lr_high,A_R,R then L,0.0001,120000,0.2888002249297852,0.35343191609608904,0.43,0.0007694869012449416,0.3453673368806839,0.2999999999999996,2.3649910886131646,342.25109601020813,0.7518919085622288,13,0.4769773508762031
lr_high,C,repeat A_L,0.0001,120000,0.28388987841850816,0.36156889280752874,0.42333333333333334,0.0007724837776316302,0.34536484092857445,0.3000000000000002,2.3128040326746775,344.38804483413696,0.7518919085622288,13,0.4769773508762031
lr_high,D_L,plasticity off (L then R),0.0,120000,0.37278523096283606,0.38309863363560764,0.49,0.00026961296216740865,0.5738731177690737,0.4977528942152304,2.282664805418719,247.81005883216858,0.7518919085622288,13,0.4769773508762031
lr_high,D_R,plasticity off (R then L),0.0,120000,0.3614570444800817,0.3710712344465218,0.5,0.00026961296216740865,0.5738731177690737,0.4977528942152304,2.2842629581785863,245.56580591201782,0.7518919085622288,13,0.4769773508762031
