condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec,manip_lr_abs_weight_mean_after,manip_lr_connection_count,manip_lr_abs_weight_mean_before
lr_low,A_L,L then R,0.0001,120000,0.31260909678110577,0.3887782581674785,0.44666666666666666,0.001424913495950099,0.34582786123644604,0.3000000000000007,2.262091017833739,371.5944995880127,0.1695616448680077,16,0.3391232897360154
lr_low,A_R,R then L,0.0001,120000,0.32836740743480886,0.33672719874547635,0.45666666666666667,0.0014221996790597356,0.34582763377408426,0.2999999999999996,2.358972904972781,440.83723616600037,0.1695616448680077,16,0.3391232897360154
lr_low,C,repeat A_L,0.0001,120000,0.31260909678110577,0.3887782581674785,0.44666666666666666,0.001424913495950099,0.34582786123644604,0.3000000000000007,2.262091017833739,372.0620801448822,0.1695616448680077,16,0.3391232897360154
lr_low,D_L,plasticity off (L then R),0.0,120000,0.38103053150353977,0.3913443444987675,0.5033333333333333,0.0012129105715495434,0.5709691941450272,0.494490552548867,2.122613119006725,364.20264530181885,0.1695616448680077,16,0.3391232897360154
lr_low,D_R,plasticity off (R then L),0.0,120000,0.3806544276238389,0.39340280600964356,0.49666666666666665,0.0012129105715495434,0.5709691941450272,0.494490552548867,2.141030474806655,350.0477194786072,0.1695616448680077,16,0.3391232897360154
baseline,A_L,L then R,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,411.9277095794678,0.3391232897360154,16,0.3391232897360154
baseline,A_R,R then L,0.0001,120000,0.3200020208715859,0.35027137019843074,0.45666666666666667,0.0013384808178196273,0.345700047296118,0.3000000000000009,2.359215608606013,480.04875922203064,0.3391232897360154,16,0.3391232897360154
baseline,C,repeat A_L,0.0001,120000,0.31734334890104643,0.34009217920254464,0.4533333333333333,0.001338201473483435,0.34570143787926405,0.30000000000000027,2.2829803584479453,416.503555059433,0.3391232897360154,16,0.3391232897360154
baseline,D_L,plasticity off (L then R),0.0,120000,0.37725592982154244,0.3923436959698829,0.5,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1186652089001083,259.0533456802368,0.3391232897360154,16,0.3391232897360154
baseline,D_R,plasticity off (R then L),0.0,120000,0.3723063111637187,0.39019027941563605,0.49,0.0010841217503497812,0.571448818933048,0.4950954547379169,2.1367839521631087,341.9494469165802,0.3391232897360154,16,0.3391232897360154
lr_high,A_L,L then R,0.0001,120000,0.30554590325808195,0.3686696911219959,0.44,0.001349133364032121,0.34564509914678465,0.2999999999999999,2.300786370501645,347.42950797080994,0.5280806321805173,16,0.3391232897360154
lr_high,A_R,R then L,0.0001,120000,0.31658610944219023,0.38431478670569075,0.44666666666666666,0.0013455554131689299,0.3456468874139143,0.29999999999999927,2.212150606950531,361.40304803848267,0.5280806321805173,16,0.3391232897360154
lr_high,C,repeat A_L,0.0001,120000,0.30554590325808195,0.3686696911219959,0.44,0.001349133364032121,0.34564509914678465,0.2999999999999999,2.300786370501645,379.13201808929443,0.5280806321805173,16,0.3391232897360154
lr_high,D_L,plasticity off (L then R),0.0,120000,0.37961079887708526,0.3910957576142573,0.5,0.0011053032309955417,0.5721338191182107,0.49576955005098533,2.1054386839936634,277.3108685016632,0.5280806321805173,16,0.3391232897360154
lr_high,D_R,plasticity off (R then L),0.0,120000,0.3784409116491936,0.37995545608315645,0.5033333333333333,0.0011053032309955417,0.5721338191182107,0.49576955005098533,2.1957473027594556,242.73567295074463,0.5280806321805173,16,0.3391232897360154
