condition,group,label,plasticity_rate,final_step,mean_activation,mean_energy,hard_active_ratio,weight_mean,weight_std,weight_abs_mean,activation_entropy,elapsed_sec,manip_tc_std_after,manip_tc_mean_after
low_std,A_L,L then R,0.0001,120000,0.28578082929631177,0.35680512353328503,0.45,-0.0011085019099091901,0.3461510101313141,0.2999999999999997,2.332852826786869,567.3043439388275,0.035948293893565735,0.9995030532985152
low_std,A_R,R then L,0.0001,120000,0.2692862699985451,0.3535014260392126,0.4033333333333333,-0.001111911204152771,0.34615294970369653,0.29999999999999977,2.2671482773628435,733.0342338085175,0.035948293893565735,0.9995030532985152
low_std,C,repeat A_L,0.0001,120000,0.28578082929631177,0.35680512353328503,0.45,-0.0011085019099091901,0.3461510101313141,0.2999999999999997,2.332852826786869,544.1820249557495,0.035948293893565735,0.9995030532985152
low_std,D_L,plasticity off (L then R),0.0,120000,0.31572780004661655,0.38618494746310167,0.42333333333333334,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.1253427925589157,370.30991411209106,0.035948293893565735,0.9995030532985152
low_std,D_R,plasticity off (R then L),0.0,120000,0.3229517803058611,0.419080357746217,0.45,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.1395720105549048,404.3071801662445,0.035948293893565735,0.9995030532985152
baseline,A_L,L then R,0.0001,120000,0.2796328052603292,0.3722310714360189,0.4166666666666667,-0.0011056885848352335,0.34615398783037304,0.3000000000000001,2.293319534733285,489.06964206695557,0.11982764631188576,0.9995030532985152
baseline,A_R,R then L,0.0001,120000,0.26696669007548013,0.3832076508969607,0.3933333333333333,-0.0011038740201393883,0.3461507372379376,0.3000000000000012,2.235495910874242,489.0972716808319,0.11982764631188576,0.9995030532985152
baseline,C,repeat A_L,0.0001,120000,0.2796328052603292,0.3722310714360189,0.4166666666666667,-0.0011056885848352335,0.34615398783037304,0.3000000000000001,2.293319534733285,494.88593101501465,0.11982764631188576,0.9995030532985152
baseline,D_L,plasticity off (L then R),0.0,120000,0.3402186822302758,0.38612918548432373,0.47,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.2387703104580132,425.45367527008057,0.11982764631188576,0.9995030532985152
baseline,D_R,plasticity off (R then L),0.0,120000,0.3383337819301003,0.41129127431525947,0.4633333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.075371545085608,434.6823332309723,0.11982764631188576,0.9995030532985152
high_std,A_L,L then R,0.0001,120000,0.27587311146705884,0.38700773851267756,0.4066666666666667,-0.00110571921634733,0.34616624048444733,0.3000000000000003,2.2890054838791754,703.7825937271118,0.23965529262377153,0.9995030532985154
high_std,A_R,R then L,0.0001,120000,0.25319874858549174,0.3640914464615463,0.38,-0.0010977139771669998,0.3461600517174805,0.30000000000000004,2.297285310381239,700.3492703437805,0.23965529262377153,0.9995030532985154
high_std,C,repeat A_L,0.0001,120000,0.27587311146705884,0.38700773851267756,0.4066666666666667,-0.00110571921634733,0.34616624048444733,0.3000000000000003,2.2890054838791754,695.2905435562134,0.23965529262377153,0.9995030532985154
high_std,D_L,plasticity off (L then R),0.0,120000,0.31288020338633477,0.4254315397890367,0.43333333333333335,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.1763793855149154,521.0361368656158,0.23965529262377153,0.9995030532985154
high_std,D_R,plasticity off (R then L),0.0,120000,0.33725413769178897,0.40782664381334444,0.4633333333333333,-0.0026881064714482246,0.5783605374218757,0.5006838195867686,2.165192880173273,511.9757363796234,0.23965529262377153,0.9995030532985154
