seed,total_steps,delta_weight_l1,structural_bifurcation,C_vs_A_L_weight_l1,D_L_vs_D_R_weight_l1,D_L_weight_drift,A_L_weight_drift,causal_skeleton_intact,A_L_mean_activation,A_R_mean_activation,A_L_activation_entropy,A_R_activation_entropy,A_L_weight_abs_mean,A_R_weight_abs_mean,A_L_elapsed_sec,A_R_elapsed_sec
1,120000,3.484016870702495e-05,weak,0.0,0.0,0.0,0.19488998452255615,True,0.29557018784578487,0.290338577013856,2.1773630478573254,2.1243030656153494,0.3000000000000006,0.3000000000000011,406.29015707969666,359.84921169281006
2,120000,6.266055549594128e-05,emerging,0.0,0.0,0.0,0.19715852279066234,True,0.2992231363916878,0.29081499336981037,2.24308770947102,2.241427829952889,0.2999999999999995,0.2999999999999999,413.7564158439636,363.0387794971466
3,120000,3.239056873486089e-05,weak,0.0,0.0,0.0,0.1993838584456831,True,0.32242953176349193,0.3222866437034736,2.2810499080964224,2.279908003595487,0.2999999999999998,0.2999999999999996,345.33401584625244,403.22831177711487
4,120000,6.763303285644334e-05,emerging,0.0,0.0,0.0,0.20067624789882332,True,0.2767406051979827,0.248422534609519,2.281316091720466,2.1844650187742567,0.3000000000000002,0.30000000000000043,725.2783143520355,724.066073179245
5,120000,6.716933474309164e-05,emerging,0.0,0.0,0.0,0.19674112272919583,True,0.32513356441318075,0.3108770140121341,2.394413811673105,2.335097796981686,0.2999999999999998,0.30000000000000093,721.572832107544,724.090882062912
10,120000,4.242144316752292e-05,weak,0.0,0.0,0.0,0.2073479167223119,True,0.31549125021127744,0.3169024207447031,2.1938242064329434,2.204995792758503,0.29999999999999943,0.2999999999999995,523.5921206474304,645.4909174442291
42,120000,0.00010458302691956933,significant,0.0,0.0,0.0,0.1970021566918973,True,0.2955169056902467,0.2970677279471326,2.4134547258213943,2.4076912801077217,0.30000000000000054,0.29999999999999927,999.8124520778656,759.0013625621796
77,120000,7.007292913154028e-05,emerging,0.0,0.0,0.0,0.20283987526826175,True,0.3102479365770191,0.3222789122955643,2.3805171379102754,2.4211459018679133,0.3000000000000005,0.2999999999999997,744.3735105991364,746.3127548694611
99,120000,7.640382824013928e-05,emerging,0.0,0.0,0.0,0.19767434289936947,True,0.3073867245678535,0.29976525813841465,2.362434234475605,2.37499041326149,0.3000000000000004,0.2999999999999987,724.8412499427795,734.1300518512726
123,120000,6.219167721463532e-05,emerging,0.0,0.0,0.0,0.1951353314823904,True,0.3154654646023086,0.3129727130546787,2.258041329121862,2.2680919563785555,0.2999999999999993,0.29999999999999993,720.5794644355774,630.4174799919128
999,120000,9.1695058794524e-05,emerging,0.0,0.0,0.0,0.20071112694430668,True,0.2570758854291552,0.27339778012466154,2.2552512287112565,2.203320248672826,0.2999999999999999,0.29999999999999916,819.2349576950073,699.1128978729248
