feature,pearson_r
L_to_R_connection_count,-0.5897044792474595
time_constant_std,0.5886000938216875
time_constant_mean,0.51781116438382
R_affected_count,-0.5066726729657183
threshold_std,-0.4958971738046804
R_to_L_connection_count,-0.4649573217082501
out_degree_std,-0.4608955834270561
L_affected_count,-0.42607905629895215
spatial_y_std,0.3702422315877663
R_to_L_abs_weight_mean,0.3648181560035235
spatial_x_mean,-0.3484910981756672
in_degree_max,-0.3334365129668106
in_degree_std,0.310361518184834
left_unit_count,0.3091026129280675
right_unit_count,-0.3091026129280675
spatial_x_std,0.2113644372482089
threshold_mean,-0.21068921216643793
out_degree_max,0.20896979525998627
L_to_R_abs_weight_mean,0.18133797246176322
spatial_y_mean,0.18127975957121684
excitatory_ratio,-0.16763939317987453
inhibitory_ratio,0.16763939317987445
spatial_z_mean,0.11859258123917964
spatial_z_std,0.115627843888198
weight_abs_mean,-0.1093220206602132
weight_std,-0.08561227241964409
in_degree_mean,1.7437498696042967e-16
out_degree_mean,1.7437498696042967e-16
