seed,temporal,arm,total_events,event_count_L,event_count_R,final_weight_l1,mean_IEI
42,False,open_loop_poisson,97,57,40,0.19520629910602225,202.75
42,False,closed_loop_triggered,15,0,15,0.19520629423805297,1382.5714285714287
42,False,matched_time_shuffle,15,0,15,0.1952119185706125,1382.5714285714287
42,False,circular_shift,15,0,15,0.19521440704820564,1326.5
77,False,open_loop_poisson,98,53,45,0.19752678048940142,200.68041237113403
77,False,closed_loop_triggered,11,11,0,0.19753772375287373,1786.0
77,False,matched_time_shuffle,11,11,0,0.19753950719287588,1786.0
77,False,circular_shift,11,11,0,0.19751781096342144,1814.0
123,False,open_loop_poisson,99,48,51,0.19443848908902078,199.19387755102042
123,False,closed_loop_triggered,18,0,18,0.19445813923669875,1031.4117647058824
123,False,matched_time_shuffle,18,0,18,0.19445661160217576,1031.4117647058824
123,False,circular_shift,18,0,18,0.19445980338154892,1100.8823529411766
999,False,open_loop_poisson,113,69,44,0.19673012057392567,177.71428571428572
999,False,closed_loop_triggered,6,0,6,0.19673884571852251,3385.6
999,False,matched_time_shuffle,6,0,6,0.19673553666585944,3385.6
999,False,circular_shift,6,0,6,0.196740610190433,2399.0
42,True,open_loop_poisson,97,57,40,0.19519121318601593,202.75
42,True,closed_loop_triggered,9,0,9,0.19519959197626854,1924.125
42,True,matched_time_shuffle,9,0,9,0.1951966853518819,1924.125
42,True,circular_shift,9,0,9,0.19519068338516582,2101.625
77,True,open_loop_poisson,98,53,45,0.19753058653106964,200.68041237113403
77,True,closed_loop_triggered,17,17,0,0.1975291722459985,1103.6875
77,True,matched_time_shuffle,17,17,0,0.19753817005870072,1103.6875
77,True,circular_shift,17,17,0,0.19752724929802318,1058.9375
123,True,open_loop_poisson,99,48,51,0.19443536361467342,199.19387755102042
123,True,closed_loop_triggered,19,0,19,0.19445481101633078,997.7222222222222
123,True,matched_time_shuffle,19,0,19,0.1944508323944396,997.7222222222222
123,True,circular_shift,19,0,19,0.19444609142382688,1011.1666666666666
999,True,open_loop_poisson,113,69,44,0.19671984380390445,177.71428571428572
999,True,closed_loop_triggered,2,0,2,0.19672728484935342,7947.0
999,True,matched_time_shuffle,2,0,2,0.19672932010654443,7947.0
999,True,circular_shift,2,0,2,0.19673000877606256,7947.0
