seed,gap,mode,arm,total_events,event_count_L,event_count_R,final_weight_l1,pair_interval,num_pairs_target,completed_pairs,first_L_step,first_R_step,last_L_step,last_R_step,L_to_R_signed_mean,R_to_L_signed_mean,L_to_R_l1,R_to_L_l1,crossing_per_unit_mean,crossing_per_unit_median,crossing_per_unit_min,crossing_per_unit_max,frac_steps_with_crossing,mean_inter_crossing_interval,crossing_balance_lr,crossing_q4_q1_ratio
999,80,OFF,L_then_R,10,5,5,0.044147808618383216,660,5,5,200,280,2840,2920,-0.0007335898054938908,1.6086970191900923e-05,0.04508637943383181,0.043143014416133565,,,,,,,,
999,80,OFF,R_then_L,10,5,5,0.04414628329464476,660,5,5,280,200,2920,2840,-0.0007302150898878965,1.9243515400573025e-05,0.04508506707669355,0.04314006626542125,,,,,,,,
999,80,OFF,simultaneous,10,5,5,0.0441452183744753,660,5,5,200,200,2840,2840,-0.0007301019142682187,1.8681796988083805e-05,0.045084202554189025,0.04313942032433647,,,,,,,,
999,80,OFF,separated_control,10,5,5,0.044147764068530736,660,5,5,200,530,2840,3170,-0.0007326655488263613,1.7105984575369083e-05,0.04508649478432571,0.0431421922538104,,,,,,,,
999,80,activity,L_then_R,10,5,5,0.04414601386865189,660,5,5,200,280,2840,2920,-0.0006796494843342808,6.989699182907718e-05,0.04507199883450955,0.043145210729493254,,,,,,,,
999,80,activity,R_then_L,10,5,5,0.044142945933208035,660,5,5,280,200,2920,2840,-0.0006608683332593621,8.267280108221755e-05,0.04507099879682676,0.04314795500169224,,,,,,,,
999,80,activity,simultaneous,10,5,5,0.044144360379642554,660,5,5,200,200,2840,2840,-0.0006602628702833953,8.042519244745607e-05,0.04508160397544101,0.04314602309881794,,,,,,,,
999,80,activity,separated_control,10,5,5,0.04414708436889886,660,5,5,200,530,2840,3170,-0.0006841422033717593,6.581375611112671e-05,0.04507561424658486,0.04316140659349451,,,,,,,,
999,80,onset,L_then_R,10,5,5,0.0441488402405457,660,5,5,200,280,2840,2920,-0.0007342058143652213,1.5366826504813196e-05,0.04508754223677123,0.04314466919909072,,,,,,,,
999,80,onset,R_then_L,10,5,5,0.04414778983485271,660,5,5,280,200,2920,2840,-0.0007312377907281488,1.9272530417024435e-05,0.04508731155855248,0.04314196305972742,,,,,,,,
