arm,config,seed,gap,tau_trace,target_event_update_l1,rest_window,homeostasis,event_index,pair_index,pulse_step,pulse_region,is_within_pair_event,dt_since_last_pulse,trace_mass_before,trace_L_mass_before,trace_R_mass_before,current_L_mass,current_R_mass,raw_update_l1,normalized_update_l1,dW_L_to_R_l1,dW_R_to_L_l1,within_pair_directional,cross_pair_contamination,contamination_ratio,current_DI,accumulated_dW_DI,accumulated_dW_LR_total,accumulated_dW_RL_total
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,1,1,700,R,True,500.0,0.03276629933183359,0.03276629933183359,0.0,0.0,0.09597039184142793,0.00021762231041210045,0.00010000000000000002,0.0001,0.0,0.0001,0.0,0.0,0.005174836684759967,0.9999999900000002,0.0001,0.0
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,2,1,1280,L,False,580.0,0.07207946310494373,0.01834579747428665,0.05373366563065709,0.05402249467052143,0.0,0.0001796034548039067,0.00010000000000000002,0.0,8.041711736221824e-05,0.0,8.041711736221824e-05,0.9999999875648368,0.005199004952368274,0.10854226481140099,0.0001,8.041711736221824e-05
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,3,2,1780,R,True,500.0,0.07648470364060754,0.04389358797686703,0.0325911156637405,0.0,0.09597039184142793,0.0005192356019046774,0.0001,5.614520118404418e-05,0.0,5.614520118404418e-05,0.0,0.0,0.0052081392560002675,0.3201189604797415,0.0001561452011840442,8.041711736221824e-05
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,4,2,2360,L,False,580.0,0.09655732626627211,0.024575948210942618,0.07198137805532948,0.05402249467052143,0.0,0.00024059598444568645,0.00010000000000000002,0.0,8.041711736221824e-05,0.0,8.041711736221824e-05,0.9999999875648368,0.005215464956444418,-0.014792863493369468,0.0001561452011840442,0.00016083423472443647
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,5,3,2860,R,True,500.0,0.0913312781322036,0.04767236541328013,0.04365891271892347,0.0,0.09597039184142793,0.0006216621261705993,9.999999999999999e-05,5.093171664611477e-05,0.0,5.093171664611477e-05,0.0,0.0,0.0052129170245876185,0.12568981032226417,0.00020707691783015898,0.00016083423472443647
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,6,3,3440,L,False,580.0,0.10486989907320829,0.026691679525204508,0.07817821954800379,0.05402249467052143,0.0,0.00026130877460980113,0.00010000000000000003,0.0,8.041711736221825e-05,0.0,8.041711736221825e-05,0.9999999875648368,0.005215389281129741,-0.07622636463814866,0.00020707691783015898,0.00024125135208665472
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,7,4,3940,R,True,500.0,0.0963731084007039,0.04895562132309406,0.04741748707760983,0.0,0.09597039184142793,0.0006564457155186691,0.00010000000000000002,4.953130506407484e-05,0.0,4.953130506407484e-05,0.0,0.0,0.005219117518108651,0.03084578774511437,0.00025660822289423385,0.00024125135208665472
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,8,4,4520,L,False,580.0,0.10769281160504161,0.027410172412994732,0.0802826391920469,0.05402249467052143,0.0,0.00026834274547315703,0.00010000000000000002,0.0,8.041711736221824e-05,0.0,8.041711736221824e-05,0.9999999875648368,0.005221508772038017,-0.11250712211573972,0.00025660822289423385,0.00032166846944887295
L_then_R,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,9,5,5020,R,True,500.0,0.09808529140094784,0.049391409288324306,0.04869388211262352,0.0,0.09597039184142793,0.0006682580668271446,0.0001,4.908889209161947e-05,0.0,4.908889209161947e-05,0.0,0.0,0.005222495452025696,-0.025457810938023406,0.0003056971149858533,0.00032166846944887295
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,1,1,700,L,True,500.0,0.05820898507646122,0.0,0.05820898507646122,0.05402249467052143,0.0,0.00015646123221802716,9.999999999999999e-05,0.0,0.0001,0.0001,0.0,0.0,0.005369213399793818,-0.9999999900000002,0.0,0.0001
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,2,1,1280,R,False,580.0,0.06283822218755358,0.030247106523813086,0.0325911156637405,0.0,0.09597039184142793,0.00042860044067595006,9.999999999999999e-05,4.6871326535038035e-05,0.0,0.0,4.6871326535038035e-05,0.9999999786649951,0.005312499074046011,-0.3617361833424393,4.6871326535038035e-05,0.0001
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,3,2,1780,L,True,500.0,0.09632229343504713,0.01834579747428665,0.07797649596076049,0.05402249467052143,0.0,0.0002447663003838134,0.00010000000000000002,0.0,8.563056527287514e-05,8.563056527287514e-05,0.0,0.0,0.005292084766139454,-0.5968090713673299,4.6871326535038035e-05,0.00018563056527287516
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,4,2,2360,R,False,580.0,0.08417780128192932,0.04051888856300586,0.043658912718923464,0.0,0.09597039184142793,0.0005741512326189518,0.0001,4.687132653503804e-05,0.0,0.0,4.687132653503804e-05,0.9999999786649951,0.0052743084431986584,-0.3289073749406162,9.374265307007608e-05,0.00018563056527287516
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,5,3,2860,L,True,500.0,0.10926540242114877,0.024575948210942618,0.08468945421020616,0.05402249467052143,0.0,0.0002747543064246858,0.0001,0.0,8.285172309824031e-05,8.285172309824031e-05,0.0,0.0,0.005265187481660391,-0.48240641332811846,9.374265307007608e-05,0.00026848228837111546
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,6,3,3440,R,False,580.0,0.09142462686152561,0.04400713978391577,0.04741748707760983,0.0,0.09597039184142793,0.0006235796303168727,0.00010000000000000002,4.687132653503804e-05,0.0,0.0,4.687132653503804e-05,0.9999999786649951,0.005260506635350185,-0.31256288180284303,0.00014061397960511414,0.00026848228837111546
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,7,4,3940,L,True,500.0,0.11366082432076369,0.026691679525204508,0.08696914479555919,0.05402249467052143,0.0,0.0002849380990991795,9.999999999999999e-05,0.0,8.204108512836976e-05,8.204108512836976e-05,0.0,0.0,0.005258512372013672,-0.42739447965032185,0.00014061397960511414,0.00035052337349948524
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,8,4,4520,R,False,580.0,0.0938856164034858,0.045191734290862276,0.04869388211262352,0.0,0.09597039184142793,0.0006403652930148853,9.999999999999999e-05,4.6871326535038035e-05,0.0,0.0,4.6871326535038035e-05,0.9999999786649951,0.005256634679640641,-0.3030398453153162,0.00018748530614015217,0.00035052337349948524
R_then_L,NO-HOMEOSTASIS,42,500,1000,0.0001,500,False,9,5,5020,L,True,500.0,0.1151534899311947,0.027410172412994732,0.08774331751819996,0.05402249467052143,0.0,0.00028839646952553326,9.999999999999999e-05,0.0,8.177881823606814e-05,8.177881823606814e-05,0.0,0.0,0.005251924858954777,-0.39500132874493116,0.00018748530614015217,0.0004323021917355534
