step,tag_mass,n_tagged,slow_l1,slow_max_abs,fast_l1,eff_l1,refractory_remaining,arm
0,0.0,0,0.0,0.0,2228.7921201093573,2228.7921201093573,0,repeated_x3
375,0.0,0,0.0,0.0,2207.996671937919,2207.996671937919,0,repeated_x3
750,0.0,0,0.0,0.0,2187.587894680869,2187.587894680869,0,repeated_x3
1125,0.0,0,0.0,0.0,2167.215058411954,2167.215058411954,0,repeated_x3
1500,0.0,0,0.0,0.0,2147.0308046296195,2147.0308046296195,0,repeated_x3
1875,0.0,0,0.0,0.0,2127.035781630377,2127.035781630377,0,repeated_x3
2250,0.0,0,0.0,0.0,2107.231413418932,2107.231413418932,251,repeated_x3
2625,9.753099120270085e-05,13,9.99600079987976e-06,4.003117497646106e-06,2087.6061629010296,2087.606158229394,377,repeated_x3
3000,9.048374180347347e-05,13,9.99600079987976e-06,4.003117497646106e-06,2068.1668432172683,2068.1668385456323,2,repeated_x3
3375,8.394570207680737e-05,13,1.9038947584100558e-05,7.624563636649247e-06,2048.9061918579337,2048.9061829600732,128,repeated_x3
3750,0.00017300302075721563,26,3.721171108724283e-05,1.090072831215839e-05,2029.828781554706,2029.8287681237243,254,repeated_x3
4125,0.00025803341682560345,42,6.364182414191287e-05,1.6425670970345246e-05,2010.9285780108373,2010.9285563691014,380,repeated_x3
4500,0.00023938882171505512,42,6.364182414191287e-05,1.6425670970345246e-05,1992.2021052627606,1992.2020836210247,5,repeated_x3
4875,0.00022209142004601061,42,8.75519968839154e-05,2.142384608498271e-05,1973.6554957239384,1973.6554666542906,131,repeated_x3
5250,0.00030116681076732595,42,0.00011916849911689634,2.594547753387445e-05,1955.2752336717654,1955.2751971729954,257,repeated_x3
5625,0.0003769365381904512,42,0.0001577545851711477,3.244373629352574e-05,1937.0654595551969,1937.0654122872234,383,repeated_x3
6000,0.00034970041806542656,42,0.0001577545851711477,3.244373629352574e-05,1919.0284184045506,1919.0283711365773,8,repeated_x3
